donor;recipient;amount;project title;;Settings;;;;;;;;;;;;;;
Australia;Marshall Islands;0,007596341;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Marshall Islands;1,40394841;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Micronesia, Fed. States;1,034488301;CADRE Program;;;;;;;;;;;;;;;;
Australia;Micronesia, Fed. States;1,40394841;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Micronesia, Fed. States;0,007596351;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Nauru;0,007596351;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Nauru;1,40394841;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Nepal;0,10344883;Ganga River Basin Capacity Building;;;;;;;;;;;;;;;;
Australia;Nepal;0,775866226;South Asia Water Initiative Phase 2;;;;;;;;;;;;;;;;
Australia;Nepal;1,477840429;Scaling-up Renewable Energy Program (SREP);;;;;;;;;;;;;;;;
Australia;Nepal;0,129311038;Climate resiliant farming - Nepal;;;;;;;;;;;;;;;;
Australia;Niue;1,031778787;Pacific Adaptation to Climate Change Project;;;;;;;;;;;;;;;;
Australia;Niue;0,031985142;Pacific Islands Climate Prediction Phase 2;;;;;;;;;;;;;;;;
Australia;Niue;0,007596341;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Niue;1,40394841;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Oceania, regional;3,93817891;Support to CSIRO;;;;;;;;;;;;;;;;
Australia;Oceania, regional;0,206355757;IDRL Asia Pacific Program 2010-2011;;;;;;;;;;;;;;;;
Australia;Oceania, regional;0,463514517;Knowledge Management & Coordination Fund;;;;;;;;;;;;;;;;
Australia;Oceania, regional;0,96186752;Pacific Adaptation to Climate Change Project;;;;;;;;;;;;;;;;
Australia;Oceania, regional;1,270899711;Support to Bureau of Meteorology;;;;;;;;;;;;;;;;
Australia;Oceania, regional;1,392901362;Community-based Adaptation NGO Partnerships;;;;;;;;;;;;;;;;
Australia;Oceania, regional;0,897647544;Support for SPREP programs funded through the ICCA;;;;;;;;;;;;;;;;
Australia;Oceania, regional;1,375705118;SIDS Community-based Adaptation Program;;;;;;;;;;;;;;;;
Australia;Oceania, regional;1,383615353;FCLP 2: Exchange and Community Education;;;;;;;;;;;;;;;;
Australia;Oceania, regional;5,180219769;PASAP Implementation;;;;;;;;;;;;;;;;
Australia;Oceania, regional;13,41312423;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Oceania, regional;0,520747228;Program Support Fund;;;;;;;;;;;;;;;;
Australia;Oceania, regional;1,420914293;Pacific Islands Climate Prediction Phase 2;;;;;;;;;;;;;;;;
Australia;Oceania, regional;3,409747121;SPC Climate Change Activities;;;;;;;;;;;;;;;;
Australia;Oceania, regional;0,140534749;PIFS Secondment;;;;;;;;;;;;;;;;
Australia;Oceania, regional;5,172669726;Community-based Climate Change Action Grants;;;;;;;;;;;;;;;;
Australia;Oceania, regional;0,827590641;Program Inception and Implementation;;;;;;;;;;;;;;;;
Australia;Oceania, regional;0,164844676;ICCAI Support Fund;;;;;;;;;;;;;;;;
Australia;Oceania, regional;8,811403989;Climate and Oceans Support Program in the Pacific;;;;;;;;;;;;;;;;
Australia;Pakistan;0,051724415;South Asia Water Initiative Phase 2;;;;;;;;;;;;;;;;
Australia;Palau;1,40394841;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Palau;0,007596351;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Papua New Guinea;0,519058657;Natural Hazard Risk Assessment Mapping Activity;;;;;;;;;;;;;;;;
Australia;Papua New Guinea;0,031985142;Pacific Islands Climate Prediction Phase 2;;;;;;;;;;;;;;;;
Australia;Papua New Guinea;1,552877115;Community-Based Adaptation activities;;;;;;;;;;;;;;;;
Australia;Papua New Guinea;0,764517061;PNG Climate Change Adaptation Activities;;;;;;;;;;;;;;;;
Australia;Papua New Guinea;1,40394841;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Papua New Guinea;0,007596351;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Philippines;0,225878229;Design of Recovery & Reconstruction Program;;;;;;;;;;;;;;;;
Australia;Philippines;4,775961078;Enhancing Risk Analysis for Metro Manila;;;;;;;;;;;;;;;;
Australia;Philippines;1,247288319;BRACE Program;;;;;;;;;;;;;;;;
Australia;Philippines;2,066267087;Philippines: GMMA READY Project;;;;;;;;;;;;;;;;
Australia;Philippines;0,485254669;Enhanced Emergency Humanitarian Response Capacity;;;;;;;;;;;;;;;;
Australia;Philippines;2,301602153;Community-based Climate Change Action Grants;;;;;;;;;;;;;;;;
Australia;Samoa;0,054271564;Pacific Islands Climate Prediction Phase 2;;;;;;;;;;;;;;;;
Australia;Samoa;0,716054478;Samoa Agro-Forestry and Tree Farming Program;;;;;;;;;;;;;;;;
Australia;Samoa;0,017307738;Redevelopment Mission;;;;;;;;;;;;;;;;
Australia;Samoa;1,241385961;Samoa NAPA4 Support;;;;;;;;;;;;;;;;
Australia;Samoa;0,007596341;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Samoa;0,08469873;Long Term Technical Advisers-Law & Justice Sector;;;;;;;;;;;;;;;;
Australia;Samoa;1,40394841;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Solomon Islands;0,031985142;Pacific Islands Climate Prediction Phase 2;;;;;;;;;;;;;;;;
Australia;Solomon Islands;0,007596341;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Solomon Islands;1,40394841;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Somalia;1,031778787;Save the Children DRR in Africa;;;;;;;;;;;;;;;;
Australia;South & Central Asia, regional;2,063557573;Climate forecasting to enhance food security;;;;;;;;;;;;;;;;
Australia;South & Central Asia, regional;0,171963062;SIDS Community-based Adaptation Program;;;;;;;;;;;;;;;;
Australia;South Africa;0,129311038;Cato Manor Phase 2;;;;;;;;;;;;;;;;
Australia;South Africa;0,648680844;South Africa MRV Program;;;;;;;;;;;;;;;;
Australia;South of Sahara, regional;4,655197354;SWaSSA: SADC Transboundary Water Mgt - Phase III;;;;;;;;;;;;;;;;
Australia;St. Kitts-Nevis;0,041271151;Caribsave Climate Change Risk Atlas;;;;;;;;;;;;;;;;
Australia;St.Vincent & Grenadines;0,041271151;Caribsave Climate Change Risk Atlas;;;;;;;;;;;;;;;;
Australia;Tanzania;1,477840429;Scaling-up Renewable Energy Program (SREP);;;;;;;;;;;;;;;;
Australia;Thailand;0,386917045;MRC's Climate Change Adaptation Initiative;;;;;;;;;;;;;;;;
Australia;Thailand;0,075989404;Exploring Mekong Futures Workshops Finalisation;;;;;;;;;;;;;;;;
Australia;Timor-Leste;1,289723483;Emergency capacity of NGOs and communities;;;;;;;;;;;;;;;;
Australia;Timor-Leste;1,112074923;PACCSAP in East Timor;;;;;;;;;;;;;;;;
Australia;Timor-Leste;0,96656403;Community-based Climate Change Action Grants;;;;;;;;;;;;;;;;
Australia;Timor-Leste;1,225410027;BESIK II - Program Costs;;;;;;;;;;;;;;;;
Australia;Timor-Leste;0,906108303;Climate Change NGO Partnership with Oxfam Aust.;;;;;;;;;;;;;;;;
Australia;Tokelau;1,031778787;Pacific Adaptation to Climate Change Project;;;;;;;;;;;;;;;;
Australia;Tonga;0,301279406;Tonga Climate Change Adaptation Program;;;;;;;;;;;;;;;;
Australia;Tonga;3,524556335;Pacific Adaptation to Climate Change Project;;;;;;;;;;;;;;;;
Australia;Tonga;0,043634439;Program Support Fund;;;;;;;;;;;;;;;;
Australia;Tonga;0,054271564;Pacific Islands Climate Prediction Phase 2;;;;;;;;;;;;;;;;
Australia;Tonga;0,117185283;Tonga Disaster Preparedness and Response;;;;;;;;;;;;;;;;
Australia;Tonga;0,007596341;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Tonga;1,40394841;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Tuvalu;0,031985142;Pacific Islands Climate Prediction Phase 2;;;;;;;;;;;;;;;;
Australia;Tuvalu;1,40394841;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Tuvalu;0,007596341;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Vanuatu;0,000637123;Land Program Procurement Management;;;;;;;;;;;;;;;;
Australia;Vanuatu;0,056128766;Pacific Islands Climate Prediction Phase 2;;;;;;;;;;;;;;;;
Australia;Vanuatu;1,40394841;Pacific Australia CC Science &Adaptation Planniing;;;;;;;;;;;;;;;;
Australia;Vanuatu;0,007596341;engagement of COSPPac Manager January - June 2012;;;;;;;;;;;;;;;;
Australia;Vietnam;0,386917045;MRC's Climate Change Adaptation Initiative;;;;;;;;;;;;;;;;
Australia;Vietnam;0,028351506;Country and regional program development;;;;;;;;;;;;;;;;
Australia;Vietnam;1,13782875;Enhancing DRM for CBDRM under EHRI;;;;;;;;;;;;;;;;
Australia;Vietnam;0,479807831;Conservation & Devel'nt of reserves in Kien Giang;;;;;;;;;;;;;;;;
Australia;Vietnam;0,018843939;Consultancies for development of CC portfolio;;;;;;;;;;;;;;;;
Australia;Vietnam;0,767847907;Community Climate Smart DRR in the Mekong (ARC);;;;;;;;;;;;;;;;
Australia;Vietnam;10,37682594;Infrastructure and economic governance;;;;;;;;;;;;;;;;
Australia;Vietnam;1,356827614;Integrated Community-based Adaptation (CARE);;;;;;;;;;;;;;;;
Australia;Vietnam;1,737029996;Sowing the Seeds of Change (SNV);;;;;;;;;;;;;;;;
Australia;Vietnam;0,075989404;Exploring Mekong Futures Workshops Finalisation;;;;;;;;;;;;;;;;
Australia;Vietnam;1,331476444;Child-centred Climate Resilience Program (STC);;;;;;;;;;;;;;;;
Australia;Vietnam;1,551732451;Equitable Resilience to Impacts of CC  (OXFAM);;;;;;;;;;;;;;;;
Australia;Vietnam;0,768702342;Vietnam Low Carbon Rice Cultivation Project (EDF);;;;;;;;;;;;;;;;
Australia;Vietnam;1,937584174;GMS Flood & Drought Risk Management and Mitigation;;;;;;;;;;;;;;;;
Australia;Vietnam;0,709903124;Climate adaptation, vulnerability and integrated urban water in Can Tho and Makassar;;;;;;;;;;;;;;;;
Australia;Vietnam;0,096780001;Assessing farmer responses to climate change - adjustment policy options in China and Vietnam;;;;;;;;;;;;;;;;
Australia;Vietnam;1,533068213;Climate change affecting land use in the Mekong Delta: adaptation of rice-based cropping systems;;;;;;;;;;;;;;;;
Australia;West Indies, regional;0,757460761;Coral Reef Management;;;;;;;;;;;;;;;;
Australia;West Indies, regional;3,096013738;SIDS Community-based Adaptation Program;;;;;;;;;;;;;;;;
Australia;West Indies, regional;0,351403438;Direct Assistance Program 2010 - 2014;;;;;;;;;;;;;;;;
Australia;West Indies, regional;0,10344883;Caribsave Climate Change Risk Atlas;;;;;;;;;;;;;;;;
Austria;Africa, regional;2,085650723;Water, climate and development programme in Africa - support of Global Water Partnership in Africa to promote water as a key part of sustainable regional and national development;;;;;;;;;;;;;;;;
Austria;Bilateral, unspecified;0,070808302;UNOOSA - Spider Outreach Program: Contribution to programme for capacity building in SIDS in the field of space-technology based disaster prevention;;;;;;;;;;;;;;;;
Austria;Bilateral, unspecified;0,212978651;Contribution to UNOOSA SPIDER-Programm  for space-based information for disaster management and emergency response in developing countries;;;;;;;;;;;;;;;;
Austria;Bilateral, unspecified;0,027808676;Meeting the costs for the participation of representatives from developing countries at the Lucerne World Mountain Conference;;;;;;;;;;;;;;;;
Austria;Bilateral, unspecified;0,033370412;Environment for development - strengthening of the international dialogue and capacity development;;;;;;;;;;;;;;;;
Austria;Burkina Faso;2,224694105;COGEL - Strengthening of public and private capacities to cope with the consequences and impact of climate change and integration in development strategies;;;;;;;;;;;;;;;;
Austria;Burkina Faso;0,102224869;NGO cofinance: Promotion of food security through increase of food crop production in Komki-Ipala province;;;;;;;;;;;;;;;;
Austria;Burkina Faso;0,340749563;HOPE for the People Affected by the Sahel Crisis: Emergency relief for Malian refugees and livelihood support for local pastoralists in Burkina Faso (;;;;;;;;;;;;;;;;
Austria;Burkina Faso;0,340749563;Humanitarian aid for people affected by the Sahel crisis - emergency relief forTuareg refugees and livelihood support for local pastoralists;;;;;;;;;;;;;;;;
Austria;Cape Verde;0,034843307;Monitoring of sector budget support for environment in Cape Verde 2010;;;;;;;;;;;;;;;;
Austria;Cape Verde;0,033670745;Monitoring of sector budget support for environment in Cape Verde 2011;;;;;;;;;;;;;;;;
Austria;Costa Rica;0,317938937;Field station La Gamba  - national park Piedras Blancas;;;;;;;;;;;;;;;;
Austria;Ethiopia;0,457194171;Reduction of vulnerability to climate related disasters on community level - Ethiopia;;;;;;;;;;;;;;;;
Austria;Europe, regional;1,77189773;ENVSEC: Transforming Environmental and Security Risks into Cooperation in the South Eastern European Region (Phase II), and Climate Change and Securit;;;;;;;;;;;;;;;;
Austria;Mozambique;0,045524142;NGO/EU cofinance: disaster prevention and preparedness in coastal regions of Angoche districte;;;;;;;;;;;;;;;;
Austria;Nepal;0,073971079;NGO/EU cofinance: SAMRAKSHAN - community based disaster prevention and preparedness, Western Nepal;;;;;;;;;;;;;;;;
Austria;Nicaragua;0,019027642;NGO-volunteers: Advisor to promote risk reduction through climate change caused natural desasters in the RAAS;;;;;;;;;;;;;;;;
Austria;North & Central America, regional;0,698536605;Mainstreaming Climate Change on Caribbean Disaster Risk Management (Phase 2);;;;;;;;;;;;;;;;
Austria;South & Central Asia, regional;0,117908788;NGO/EU cofinance: Disaster prevention and preparedness measures to reduce poverty risks in Tajikistan, Afghanistan and Kyrgyz Republic;;;;;;;;;;;;;;;;
Austria;South Asia, regional;0,928586918;ICIMOD -  International Center for Integrated Mountain Development, contribution to working programme 2010 - 2012;;;;;;;;;;;;;;;;
Austria;South of Sahara, regional;0,425957302;Learning programme for adaption to climate change for rural households in Africa South of Sahara;;;;;;;;;;;;;;;;
Austria;South of Sahara, regional;1,390433815;Improvement of catchment management in Lower Tana, Kenya, and Upper Aswa-Agago, Uganda - securing water supply in the context of climate change;;;;;;;;;;;;;;;;
Austria;South of Sahara, regional;1,362998254;Strengthening Humanitarian Coordination and Advocacy in the Horn of Africa;;;;;;;;;;;;;;;;
Austria;West Bank & Gaza Strip;0,341099384;Frame agreement for co-financing NGO annual programme 2010-2012: Integrated Water Resource Management in Palestine;;;;;;;;;;;;;;;;
Belgium;Bilateral, unspecified;0,000567467;Environnement: Formation: module Disaster Risk Reduction;;;;;;;;;;;;;;;;
Belgium;Bilateral, unspecified;0,008404412;PUB Ralisation banners et displays de la coopration belge;;;;;;;;;;;;;;;;
Belgium;Bilateral, unspecified;0,02128001;Festival international Millenium: Festival de films documentaires visant la sensibilisation aux Objectifs du Millnaire pour le Dveloppement. Bruxelles juin 2010;;;;;;;;;;;;;;;;
Belgium;Bilateral, unspecified;0,029723918;Exposition photographique Les Turkanas du Kenya, pasteurs nomades face au drglement climatique'  sensibilisation au changement climatique et  ses consquences sur les populations du Sud .';;;;;;;;;;;;;;;;
Belgium;Bilateral, unspecified;0,104282536;Cinema Novo, Bruges, mars 2011 - Festival de films - grand public - Ce festival propose des films venant de 3 continents visant  contribuer  introduire un changement de mentalit pour plus de solidarit mondiale , encadr de workshops et de dbats.;;;;;;;;;;;;;;;;
Belgium;Bilateral, unspecified;0,184232481;Yes, we can' - programme de tlvision ralis par la maison de production Breedbeeld - 7 missions - Sujet : le changement de climat en Bolivie - grand public - public jeunes - chane : TMF - priode de diffusion : novembre - dcembre 2010';;;;;;;;;;;;;;;;
Belgium;Bilateral, unspecified;0,078849833;ONG Service Laque de Coopration au Dveloppement / PROGRAMME 2011-2014 / cots de gestion;;;;;;;;;;;;;;;;
Belgium;Bilateral, unspecified;0,083480548;ONG Service Laque de Coopration au Dveloppement / PROGRAMME 2011-2014 / frais de structure;;;;;;;;;;;;;;;;
Belgium;Bilateral, unspecified;0,019466073;Zuid-Noord Klimaatspiegel', Bruxelles et Flandres, octobre 2011 - avril 2012: activit pdagogique concernant le 'changement du climat' ciblant l'enseignement secondaire technique';;;;;;;;;;;;;;;;
Belgium;Bilateral, unspecified;0,097330367;Mano Mundo', Boom, mai 2011: festival interculturel comprenant de la musique, des stands d'info, des ateliers, des expositions,...Thmes principaux: le changement climatique et la sant';;;;;;;;;;;;;;;;
Belgium;Bilateral, unspecified;0,007440211;UNFCCC  Convention-cadre des Nations Unies sur les changements climatiques: Trust Fund for Participation  - TFP;;;;;;;;;;;;;;;;
Belgium;Bilateral, unspecified;0,024899889;UNFCCC  Convention-cadre des Nations Unies sur les changements climatiques: Trust Fund for Supplementary Activities  TFSA;;;;;;;;;;;;;;;;
Belgium;Bolivia;0,169310228;Dveloppement rural intgral bassins versants Tunari, actions complmentaires Vinto;;;;;;;;;;;;;;;;
Belgium;Burkina Faso;0,577753059;Les bnficiaires amliorent leurs revenus grce  une exploitation durable des ressources de leur terroir;;;;;;;;;;;;;;;;
Belgium;Burkina Faso;0,597137097;Renforcement des capacits de la Croix-Rouge Burkinab (CRBF) au travers de la mise en uvre d'activits de protection, rinsertion et prvention de la vulnrabilit des enfants, de prparation aux catastrophes naturelles et de diffusion du droit international humanitaire sur le territoire Burkinab;;;;;;;;;;;;;;;;
Belgium;Burundi;0,630216908;Les capacits de la Croix-Rouge du Burundi en rduction des risques et rponses aux catastrophes, protection de l'enfant  base communautaire et diffusion des normes humanitaires sont tendues et renforces et ses capacits de gestion administrative et financire sont amliores;;;;;;;;;;;;;;;;
Belgium;Burundi;0,101223582;Les bnficiaires amliorent leurs revenus grce  une exploitation durable des ressources de leur terroir;;;;;;;;;;;;;;;;
Belgium;Congo, Dem. Rep.;2,026075417;Biodiversit RD Congo 2010 - Boyekoli Ebale Congo. Projet d'expdition scientifique sur le fleuve Congo, suivi mdiatique et cration d'un Centre de Biodiversit  Kisangani-Yangambi;;;;;;;;;;;;;;;;
Belgium;Congo, Dem. Rep.;0,535310067;Les capacits de la Croix-Rouge de la RDC sont renforces en matire de DIH et diffusion des normes humanitaires ainsi qu'en matire de rponse aux catastrophes;;;;;;;;;;;;;;;;
Belgium;Congo, Dem. Rep.;0,81881535;Les bnficiaires amliorent leurs revenus grce  une exploitation durable des ressources de leur terroir;;;;;;;;;;;;;;;;
Belgium;Indonesia;0,115536267;Les premiers pas sont fait pour dvelopper une interaction avec un nombre de partenaires au sud, ainsi mieux arms pour appuyer ensemble des mesures pour combattre les effets ngatifs du changement de climat sur les plus pauvres dans le sud.;;;;;;;;;;;;;;;;
Belgium;Laos;0,014186673;Le renforcement des capacits pour la conception et la construction de protections des berges le long du fleuve Mkong;;;;;;;;;;;;;;;;
Belgium;Rwanda;0,430058398;La Croix-Rouge rwandaise et ses comits locaux sont efficaces dans la protection des enfants vulnrables et dans la rduction des risques de catastrophes;;;;;;;;;;;;;;;;
Belgium;Senegal;0,061002695;Approvisionnement en eau potable dans le village de Wlia Mbounka, communaut rurale de Medina Yero Foulah, regio Kolda;;;;;;;;;;;;;;;;
Belgium;Senegal;0,053837597;Les bnficiaires amliorent leurs revenus grce  une exploitation durable des ressources de leur terroir;;;;;;;;;;;;;;;;
Belgium;Sri Lanka;0,078706188;Projet de cooperation universitaire - Initiative propre 2008 - DIGUE VERTE : L'utilisation de barrires naturelles pour la protection des ctes au Sri Lanka;;;;;;;;;;;;;;;;
Belgium;Uganda;2,085650723;Soutien  la composante de dveloppement de chane de valeur du programme U-croissance en Ouganda;;;;;;;;;;;;;;;;
