ID;Category;Country;Priority Project Number;Priority Project Title;Amount (USD);Amount (AUD);Official Keywords;Indicative Priority Project Cost (USD);Extracted Keywords
6;CROSS-SECTORIAL;Djibouti;5;Promotion of the integrated agro-pastoral industry and the development of irrigation techniques to control the salinisation of soils;;765;Water resources, Forest ecosystems, Livestock, Agriculture;765000;development,promotion,agro,irrigation technique,industry pastoral
61; FOOD SECURITY ;Djibouti;4;Improvement of rangeland management to mitigate the risks associated with traditional extensive livestock;1,700,000;;Livestock;1700000;risk,improvement management rangeland,extensive livestock traditional
141;  COASTAL ZONES AND MARINE ECOSYSTEMS;Djibouti;7;Restoration of protected sites through the protection of coral reefs and mangrove vegetation;;529;Restoration of coral reefs and mangrove vegetation;529000;protection,restoration,coral reef,mangrove vegetation,site
319; INFRASTRUCTURE  ;Djibouti;8;Promoting protection measures adapted to the water supply infrastructures of the City of Djibouti;;820;Water supply infrastructure;820000;city,infrastructure supply water,measure protection,djibouti
362;   TERRESTRIAL ECOSYSTEMS  ;Djibouti;2;Promoting the fencing of forest areas in Day and Mabla coupled with the introduction of improved stoves;;294;Forest Protection;294000;introduction,fencing,day mabla,area forest,stove
363;   TERRESTRIAL ECOSYSTEMS  ;Djibouti;6;Promoting the regeneration of pastures endogenous to the areas of Doda and Grand Bara;;882;Forest ecosystems;882000;area,bara doda grand,pasture,regeneration
444;WATER RESOURCES  ;Djibouti;3;Implementation of restoration and management actions adapted to surface water;1,447,000;;Surface Water;1447000;water,action management,implementation restoration
62; FOOD SECURITY ;Eritrea;1;Introducing community based pilot rangeland improvement and management in selected agro-ecological areas in the eastern and northwestern lowlands rangelands;7230000;;Livestock;7230000;community,agro,area ecological,lowland northwestern rangeland,improvement management pilot rangeland
63; FOOD SECURITY ;Eritrea;2;Introducing community based pilot projects to intensify existing production models, area and species specific in eastern and northwestern lowlands selecting suitable sheep and goat breeds;5077000;;Livestock;5077000;community,breed goat,area species,lowland northwestern,model production
64; FOOD SECURITY ;Eritrea;5;Increase agricultural production through spate irrigation and range development;8540000;;Agriculture;8540000;agricultural production,development range,irrigation spate
364;   TERRESTRIAL ECOSYSTEMS  ;Eritrea;3;Encourage afforestation and agroforestry through community forestry initiative;5,050,000;;Forest ecosystems
445;WATER RESOURCES  ;Eritrea;4;Groundwater recharge for irrigation wells;7,252,000;;Groundwater;7252000;groundwater irrigation recharge well
7;CROSS-SECTORIAL;Ethiopia;7;Realizing food security through multi-purpose large scale water development project in Genale–Dawa Basin;700,000,000;;Food security, water resources and infrastructure
65; FOOD SECURITY ;Ethiopia;4;Improving/enhancing rangeland resource management practices in the pastoral areas of Ethiopia;2,000,000;;Livestock;2000000;ethiopia,area pastoral,improving management practice rangeland resource
189;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Ethiopia;2;Strengthening/enhancing drought and flood early warning systems in Ethiopia;10,000,000;;Early warning system;10000000;early system warning,ethiopia,drought flood strengthening
230; EDUCATION/ CAPACITY BUILDING ;Ethiopia;6;Capacity building program for climate change adaptation in Ethiopia;3,000,000;;Capacity Building;3000000;ethiopia,adaptation building capacity change climate program
284; HEALTH ;Ethiopia;10;Strengthening malaria containment program(MCP) in selected areas of Ethiopia;6,000,000;;Malaria program;6000000;area,ethiopia,containment malaria program(mcp
320; INFRASTRUCTURE  ;Ethiopia;9;Establishment of nationalresearch and development (R&D) center for climate change;2,000,000;;Research and Development infrastructure
343; INSURANCE ;Ethiopia;1;Promoting drought/crop insurance program in Ethiopia;8,000,000;;Insurance Program;8000000;ethiopia,drought insurance program
365;   TERRESTRIAL ECOSYSTEMS  ;Ethiopia;5;Community based sustainable utilization and management of wet lands in selected parts of Ethiopia;2,000,000;;Wetland Ecosystem;2000000;community,management,ethiopia,part,land wet
366;   TERRESTRIAL ECOSYSTEMS  ;Ethiopia;8;Community Based Carbon Sequestration Project in the Rift Valley System of Ethiopia;1,000,000;;Forest ecosystems;1000000;community,ethiopia,rift system valley,carbon project sequestration
367;   TERRESTRIAL ECOSYSTEMS  ;Ethiopia;11;Promotion of on farm and homestead forestry and agro-forestry practices in arid, semi-arid and dry-sub humid parts of Ethiopia;5,000,000;;Forest ecosystems;5000000;ethiopia,agro,forestry homestead,farm,forestry practice
446;WATER RESOURCES  ;Ethiopia;3;Development of small scale irrigation and water harvesting schemes in arid, semi-arid, and dry subhumid areas of Ethiopia;30,000,000;;Irrigation;30000000;development,ethiopia,harvesting scheme water,irrigation scale small,area dry subhumid
66; FOOD SECURITY ;Gambia;3;Diversification and Intensification of Agricultural Production, Processing, and Marketing;2,710,000;;Agriculture;2710000;agricultural production,diversification intensification,marketing,processing
67; FOOD SECURITY ;Gambia;8;Improved livestock and rangeland management for food security and environmental sustainability;2800000;;Livestock;2800000;food security,environmental sustainability,livestock management rangeland
68; FOOD SECURITY ;Gambia;10;Increasing fish production through aquaculture and conservation of post harvest fishery products;;300000;Fisheries;300000;conservation,aquaculture fish production,fishery harvest post product
142;  COASTAL ZONES AND MARINE ECOSYSTEMS;Gambia;9;Restoration/Protection of coastal environments;2300000;;Coastal zones;2300000;restoration,coastal environment
190;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Gambia;1;Rehabilitation of Early Warning Systems on Climate Related Natural Hazards;;450000;Early Warning system;450000;rehabilitation,systems warning,climate hazard natural related
263; ENERGY ;Gambia;6;Briquetting and Carbonization of Groundnut Shells;;230000;Briquetting and Carbonization;230000;briquetting carbonization,groundnut shell
285; HEALTH ;Gambia;7;Reduction of climate change related diseases;1217000;;Climate change-related diseases;1217000;disease,change climate reduction
368;   TERRESTRIAL ECOSYSTEMS  ;Gambia;4;Expansion of Community Participation in the Management of Forests and Protected Areas;1,412,000;;Forest ecosystems;1412000;management,area,community participation,expansion,forests
369;   TERRESTRIAL ECOSYSTEMS  ;Gambia;5;Expansion and Intensification of Agro-forestry and Re-forestation Activities;2,753,000;;Forest ecosystems
447;WATER RESOURCES  ;Gambia;2;Improvement of Fresh Water Availability;;910;Fresh;910000;improvement,availability fresh water
8;CROSS-SECTORIAL;Guinea;3;Promotion of positive local knowledge and practices;;300;Public awareness, protection of ecosystem
69; FOOD SECURITY ;Guinea;7;Promoting adaptation-oriented technologies 4. Intensification of bulrush millet crops in the North region of Guinea;;600;Agriculture/ Livestock
70; FOOD SECURITY ;Guinea;22;Rehabilitation of hydro-agricultural system of plains and lowlands 1. Implementation of irrigated rice cultivation in Moyenne and Haute Guinea;;300;Agriculture;300000;implementation,guinea,agricultural system,cultivation rice,hydro rehabilitation
71; FOOD SECURITY ;Guinea;23;Promoting income-generating activities 1. Intensification of small ruminant breeding;;325;Livestock;325000;activity,income,intensification,breeding ruminant small
72; FOOD SECURITY ;Guinea;24;Promoting income-generating activities 2. Development and promotion of vegetable growing;;250;Agriculture;250000;activity,income,development promotion,vegetable
73; FOOD SECURITY ;Guinea;25;Promoting income-generating activities 3. Implementation of a ranch for cane rats to prevent unsustainable hunting of wildlife and improve the livelihoods of rural populations;;300;Livestock
143;  COASTAL ZONES AND MARINE ECOSYSTEMS;Guinea;13;Protection of cultivated areas neighboring the coast;;350;Coastal zones;350000;area,protection,coast
144;  COASTAL ZONES AND MARINE ECOSYSTEMS;Guinea;21;Protection of spawning areas in Fatale, Konkoure et Mellacore estuaries;;250;Coastal zones
191;EARLY WARNING SYSTEM AND DISASTER MANAGEMENT ;Guinea;11;Promoting adaptation-oriented technologies 5. Implementation of a system of early warning climate forecasts to protect agricultural production;;350;Early Warning System
231; EDUCATION/ CAPACITY BUILDING ;Guinea;4;Promoting adaptation-oriented technologies 1. Training of the coastal community on environmental friendly techniques to exploit oysters from mangrove ecosystems;;250;Education
232; EDUCATION/ CAPACITY BUILDING ;Guinea;10;Promoting adaptation-oriented technologies 7. Training on and dissemination of techniques of making compacted bricks to mitigate the environmental impacts of cooking bricks;;350;Education
233; EDUCATION/ CAPACITY BUILDING ;Guinea;14;Promotion of and sensitization on Multilateral Agreements on Environment and national legal texts related to the protection and sustainable use of natural resources;;300;Public awareness;300000;promotion,protection,natural resource,environment legal national text,agreement multilateral
234; EDUCATION/ CAPACITY BUILDING ;Guinea;15;Promoting Environmental Education for coastal communities;;200;Education and Public Awareness;200000;coastal community,education environmental
264; ENERGY ;Guinea;5;Promoting adaptation-oriented technologies 2 Promotion for sea salt production based on solar energy;;300;Solar energy
265; ENERGY ;Guinea;9;Promoting adaptation-oriented technologies 6. Promoting the use of solar energy for fish drying to reduce pressure on mangroves;;200;Solar energy
321; INFRASTRUCTURE  ;Guinea;16;Promoting the restoration and integrated management of small-scale hydraulic infrastructures. 1. Construction of multiple use small-scale dams;;600;Hydraulic infrastructure;600000;management,construction,hydraulic infrastructure,dam scale,multiple use
322; INFRASTRUCTURE  ;Guinea;17;Promoting the restoration and integrated management of small-scale hydraulic infrastructures. 2. Construction of artificial lakes;;180;Hydraulic infrastructure;180000;management,construction,restoration,hydraulic infrastructure,artificial lake
323; INFRASTRUCTURE  ;Guinea;18;Promoting the restoration andintegrated management of small-scale hydraulic infrastructures. 3. Construction of improved wells;;250;Hydraulic infrastructure
324; INFRASTRUCTURE  ;Guinea;19;Promoting the restoration and integrated management of small-scale hydraulic infrastructures. 4. Surface water made drinkable by means of hydropur;;320;Hydraulic infrastructure
325; INFRASTRUCTURE  ;Guinea;20;Promoting the restoration and integrated management of small-scale hydraulic infrastructures. 5. Dissemination of techniques of impluvia;;280;Hydraulic infrastructure
370;   TERRESTRIAL ECOSYSTEMS  ;Guinea;1;Promotion of sylviculture. 1. Support to the development of community and private plantations of cashew;;600;Forest ecosystems
371;   TERRESTRIAL ECOSYSTEMS  ;Guinea;2;Promotion of sylviculture. 2. Assistance for the implementation of community-based forest management plans;;600;Forest ecosystems
372;   TERRESTRIAL ECOSYSTEMS  ;Guinea;6;Promoting adaptation-oriented technologies. 3. Dissemination of soil conservation practices;;300;Land Rehabilitation;300000;adaptation,technology,conservation dissemination practice soil
