source;id;projecttitle;year;amount;currency;donor;recipient;recipient_mapped;purpose;sector;sector_mapped
undp_alm;57;Integrating Global Environmental Priorities into National Policies and Programmes in Kiribati;n/a;547000;USD;Environment and Conservation Division, Ministry of Environment, Land, and Agricultural Development (MELAD), Government of Kiribati,UNDP,GEF;Kiribati;Kiribati;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;58;Strengthening the Capacity to Implement Natural Resources Legislation in Lao People’s Democratic Republic;n/a;500000;USD;Lao PDR Ministry of Agriculture and Forestry,Lao PDR Ministry of Environment and Natural Resources,International Union for Conservation of Nature (IUCN),UNDP,GEF;Lao People's Democratic Republic;Laos;;;
undp_alm;59;Building Adaptive Capacity and Resilience of Women and Children in the Democratic Republic of the Congo;n/a;4725000;USD;Department of Environment, Nature Conservation and Tourism, Democratic Republic of Congo,UNDP,GEF;Democratic Republic of the Congo;Democratic Republic of Congo;land degradation and deforestation;agriculture/food security;agriculture / food security
undp_alm;60;Building resilience of Muanda’s communities from coastal erosion in the Democratic Republic of the Congo;n/a;5863725;USD;Department of Environment, Nature Conservation and Tourism, Democratic Republic of Congo,UNDP,GEF;Democratic Republic of the Congo;Democratic Republic of Congo;sea level rise;coastal zone development;coastal zone development
undp_alm;61;Strengthening the Environmental Management Information System for Coastal Development in Cote d’Ivoire;n/a;550000;USD;Cote d’Ivoire’s Ministry for the Environment and Sustainable Development,UNDP,GEF;Cote d'Ivoire;Ivory Coast;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;62;Capacity-Building for Mainstreaming MEA Objectives into Inter-Ministerial Structures in Costa Rica;n/a;980000;USD;Ministry of Environment, Energy and Telecommunications, Costa Rica,UNDP,GEF;Costa Rica;Costa Rica;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;63;Enhancing Adaptive Capacity and Resilience to Climate Change in the Agriculture Sector in Comoros;n/a;8990909;USD;Comoros’s Ministry of Fishing, Environment, Livestock, Industry and Agriculture (MPEEIA),UNDP,GEF;Comoros;Comoros;;agriculture/food security;agriculture / food security
undp_alm;64;Strengthening Climate Information and Early Warning Systems to Support Climate-Resilient Development in Cambodia;n/a;4910285;USD;Cambodia’s Ministry of Water Resources and Meteorology (MoWRAM),UNDP,GEF;Cambodia;Cambodia;extreme weather events;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;65;Community Disaster Risk Management in Burundi;n/a;8715000;USD;Geographic Institute of Burundi (IGEBU), Ministry of Water, Environment, Land management and Urban Planning,UNDP,GEF;Burundi;Burundi;extreme weather events;disaster risk reduction;disaster risk reduction
undp_alm;66;Generating Global Environmental Benefits from Improved Local Planning and Decision-making Systems in Burkina Faso;n/a;1067000;USD;Burkina Faso’s National Council for Environment and Sustainable Development (CONEDD),UNDP,GEF;Burkina Faso;Burkina Faso;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;67;Reducing vulnerability of natural resource dependent livelihoods in Boucles du Mouhoun Forest Corridor and Mare d’Oursi Wetlands Basin in Burkina Faso;n/a;7700000;USD;Burkina Faso’s National Council for Environment and Sustainable Development (CONEDD),UNDP,GEF;Burkina Faso;Burkina Faso;drought/water scarcity,extreme weather events,flood;disaster risk reduction;disaster risk reduction
undp_alm;68;National Capacity Development for Implementing Rio Conventions in Bangladesh;n/a;726000;USD;Bangladesh Ministry of Environment and Forests,UNDP,International Union for Conservation of Nature (IUCN),Center for Participatory Research and Development (CPRD),GEF;Bangladesh;Bangladesh;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;69;Reducing vulnerability to coastal flooding through ecosystem-based adaptation in Cuba;n/a;6067320;USD;UNDP,Adaptation Fund;Cuba;Cuba;extreme weather events,flood,sea level rise;coastal zone development;coastal zone development
undp_alm;70;Reducing risk and vulnerability to climate change in Colombia;n/a;8518307;USD;Colombia Ministry of Environment and Sustainable Development,UNDP,Adaptation Fund;Colombia;Colombia;drought/water scarcity,extreme weather events,flood;water resources;water resources
undp_alm;71;Africa Adaptation Programme;n/a;92100000;USD;;;Non-specific;disease,drought/water scarcity,extreme weather events,flood,land degradation and deforestation,public health,sea level rise,wildfire;;
undp_alm;72;Pilot Programme on Integrated Adaptation Strategies in Mali;n/a;3952550;USD;Federal Ministry for the Environment, Nature Conservation, Building and Nuclear Safety (BMUB),UNDP;Mali;Mali;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;73;Strengthening Livelihood Resilience & Managing Disaster Risks for Afghan communities;n/a;9000000;USD;Ministry of Agriculture, Irrigation and Livestock (MAIL),ICIMOD,UNDP,GEF;Afghanistan;Afghanistan;drought/water scarcity,flood;water resources;water resources
undp_alm;74;Effective Governance for Small-scale Rural Infrastructure and Disaster Preparedness in Lao PDR;n/a;4700000;USD;Lao PDR Ministry of Environment and Natural Resources,UNDP,GEF;Lao People's Democratic Republic;Laos;drought/water scarcity,extreme weather events,flood;water resources;water resources
undp_alm;75;Climate-resilient development & enhanced adaptive capacity for disaster risk in Angola’s Cuvelai River Basin;n/a;28050000;USD;Angola Provincial Government of Cunene,Angola Ministry of Environment (MINAMB),Angola National Commission for Civil Protection,Angola Ministry of Energy and Water (MINEA),Angola Ministry of Agriculture and Rural Development,UNDP,GEF;Angola;Angola;drought/water scarcity,extreme weather events,flood,land degradation and deforestation;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;76;Strategic Planning and Action to strengthen climate Resilience of Communities in Nusa Tenggara Timor province (SPARC);n/a;5000000;USD;BAPPEDA: Badan Perencana Pembangunan Daerah (Regional Body for Planning and Development),Indonesia Ministry of Environment (Kementerian Lingkungan Hidup),UNDP,GEF;Indonesia;Indonesia;disease,drought/water scarcity,flood,land degradation and deforestation,public health;rural development;rural development
undp_alm;77;Economics of Climate Change Adaptation (ECCA) ASIA;n/a;n/a;USD;UNDP,USAID,Global Water Partnership,Asian Development Bank,Yale University;;Non-specific;;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;78;Strengthening Climate Information and Early Warning Systems in Gambia;n/a;8000000;USD;Department of Agriculture, Government of Gambia,National Environmental Agency, Government of Gambia,UNDP,GEF,United Nations Environment Programme (UNEP),Ministry of Water Resources, Fisheries & National Assembly Matters - Government of Gambia;Gambia;The Gambia;drought/water scarcity,extreme weather events,flood,public health;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;79;Strengthening Liberia's Climate Information and Services to Enhance Climate Resilient Development and Adaptation;n/a;6730000;USD;Government of Liberia,UNDP,Ministry of Agriculture, Government of Liberia,GEF,Liberia Ministry of Lands, Mines, and Energy;Liberia;Liberia;disease,drought/water scarcity,extreme weather events,flood,public health;disaster risk reduction;disaster risk reduction
undp_alm;80;Mainstreaming Multilateral Environmental Agreements into Environmental Legislation in Nicaragua;n/a;470000;USD;Ministry of the Environment and Natural Resources, Nicaragua,Government of Nicaragua;Nicaragua;Nicaragua;drought/water scarcity,extreme weather events,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;81;CBA Guatemala: Soil Recovery with Organic Composting, Crop and Soil Conservation Structures in Pin Pin Canton;n/a;25000;USD;COCODE Cantón Pin Pin,UNDP,GEF,The GEF Small Grants Programme,UN Volunteers;Guatemala;Guatemala;drought/water scarcity,land degradation and deforestation;natural resource management;natural resource management
undp_alm;82;CBA Guatemala: Adapting to Climate Change through the Application of Green Forest Borders (ODICH);n/a;25000;USD;Organización Desarrollo Integral Chocabense (ODICH),UNDP,GEF,The GEF Small Grants Programme,UN Volunteers;Guatemala;Guatemala;drought/water scarcity,extreme weather events,land degradation and deforestation;natural resource management;natural resource management
undp_alm;83;CBA Guatemala: Tree Nursery Activities for Reforestation in the Taltimiche Plains (APRODIC);n/a;19376;USD;Asociación de Proyectos de Desarrollo Integral de Comitancillo,UNDP,GEF,The GEF Small Grants Programme,UN Volunteers;Guatemala;Guatemala;drought/water scarcity,land degradation and deforestation;natural resource management;natural resource management
undp_alm;84;CBA Guatemala: Reforestation and Soil Conservation to Improve Tree Nurseries for Adaptation (Grupo Mixto);n/a;20395;USD;Grupo Mixto los Reforestales,UNDP,GEF,The GEF Small Grants Programme,UN Volunteers;Guatemala;Guatemala;drought/water scarcity,land degradation and deforestation;agriculture/food security;agriculture / food security
undp_alm;85;Improving Capacity towards Conventions Implementation through Institutional Strengthening & Development in Uzbekistan;n/a;480000;USD;Government of Uzbekistan,GEF,UNDP;Uzbekistan;Uzbekistan;drought/water scarcity,flood,land degradation and deforestation,public health;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;86;Community Learning & Capacity Building for Global Environmental Management & Poverty Reduction in Tajikistan;n/a;470000;USD;Government of Tajikistan,GEF,UNDP;Tajikistan;Tajikistan;drought/water scarcity,flood,land degradation and deforestation,public health;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;87;Strengthening Coordination for Effective Environmental Management (STREEM) in the Philippines;n/a;480000;USD;Government of the Philippines,GEF,UNDP;Philippines;Philippines;extreme weather events,flood,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;88;Mainstreaming GE Aspects in the Planning and Monitoring processes of the NHDI in Morocco;n/a;460000;USD;Government of Morocco,GEF,UNDP;Morocco;Morocco;drought/water scarcity,extreme weather events,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;89;Capacity Building for Environmental Policy Institutions for Integration of Global Environment Commitments in Montenegro;n/a;500000;USD;Government of Montenegro,GEF,UNDP;Montenegro;Montenegro;drought/water scarcity,extreme weather events,flood,land degradation and deforestation,public health;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;90;Strengthening Environmental Fiscal Reform for National and Global Environment Management in Moldova;n/a;480000;USD;Government of Moldova,GEF,UNDP;Republic of Moldova;Moldova;drought/water scarcity,extreme weather events,land degradation and deforestation,public health;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;91;Developing Policy-Relevant Capacity for Implementation of the Global Environmental Conventions in Jordan;n/a;480000;USD;Government of Jordan,Ministry of Environment - Jordan,Ministry of Water and Irrigation - Jordan;Jordan;Jordan;drought/water scarcity,land degradation and deforestation,public health;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;92;Piloting Natural Resource Valuation within Environmental Impact Assessments in Jamaica;n/a;470000;USD;Government of Jamaica,GEF,UNDP;Jamaica;Jamaica;drought/water scarcity,extreme weather events,flood,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;93;Serbia- Second National Communication;n/a;405000;USD;Ministry of Environment and Spacial Planning, Serbia,UNFCCC Secretariat,UNDP,GEF;Serbia;Serbia;drought/water scarcity,public health;;
undp_alm;94;Establishing the Ghana Environmental Conventions Coordination Authority (GECCA);n/a;480000;USD;Government of Ghana,GEF,UNDP;Ghana;Ghana;drought/water scarcity,extreme weather events,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;95;Strengthening the Monitoring & Reporting System for Multilateral Environmental Agreements in Egypt;n/a;480000;USD;Government of Egypt,GEF,UNDP;Egypt;Egypt;drought/water scarcity,flood,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;96;Integrating Global Environmental Issues into Bulgaria’s Regional Development Process ;n/a;500000;USD;Government of Bulgaria,GEF,UNDP;Bulgaria;Bulgaria;drought/water scarcity,extreme weather events,flood,land degradation and deforestation,public health;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;97;Zambia- Second National Communication;n/a;455000;USD;Zambia Ministry of Tourism, Environment and Natural Resources,UNFCCC Secretariat,UNDP,GEF;Zambia;Zambia;drought/water scarcity,land degradation and deforestation,public health;;
undp_alm;98;Yemen- Second National Communication;n/a;405000;USD;Ministry of Water and Environment, Republic of Yemen;Yemen;Yemen;drought/water scarcity,sea level rise;;
undp_alm;99;National Capacity Self-Assessment, Bolivia;n/a;200000;USD;Ministry of Environment and Water, Bolivia,Government of Bolivia,GEF,UNDP;Bolivia;Bolivia;drought/water scarcity,land degradation and deforestation,public health;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;100;Enhancing Global Environmental Management in Bhutan's Local Governance System;n/a;480000;USD;National Environment Commission, Royal Government of Bhutan,Government of Bhutan,GEF,UNDP;Bhutan;Bhutan;drought/water scarcity,extreme weather events,flood,land degradation and deforestation,public health;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;101;Tuvalu- Second National Communication;n/a;405000;USD;Ministry of Natural Resources, Government of Tuvalu,UNFCCC Secretariat,UNDP,GEF;Tuvalu;Tuvalu;drought/water scarcity,extreme weather events,public health,sea level rise;;
undp_alm;102;Strengthening Institutional Capacities for Coordinating Multi-sectoral Environmental Policies & Programmes in Belize;n/a;470000;USD;Government of Belize,Caribbean Community Climate Change Center,Belize Chamber of Commerce and Industry,University of Belize,GEF,UNDP;Belize;Belize;drought/water scarcity,extreme weather events,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;103;Capacity Building for Optimization of Information and Monitoring System in Armenia;n/a;480000;USD;Ministry of Nature Protection (MNP), Armenia,Ministry of Agriculture (MoA), Armenia,Ministry of Health (MoH), Armenia,National Statistical Service, Armenia,GEF,UNDP;Armenia;Armenia;drought/water scarcity,extreme weather events,land degradation and deforestation,public health;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;104;Tonga- Second National Communication;n/a;n/a;USD;Ministry of Environment and Climate Change, Government of Tonga,UNFCCC Secretariat,UNDP,GEF;Tonga;Tonga;drought/water scarcity,extreme weather events,public health,sea level rise;;
undp_alm;105;Uruguay- Second National Communication;n/a;n/a;USD;Dirección nacional de medio ambiente (DINAMA) de Uruguay,UNFCCC Secretariat,UNDP,GEF;Uruguay;Uruguay;sea level rise;;
undp_alm;106;Suriname's Second National Communication - In Progress;n/a;420000;USD;Government of Suriname,GEF,UNDP;Suriname;Suriname;extreme weather events,flood,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;107;Sri Lanka- Second National Communication;n/a;410000;USD;Ministry of  Environment, Sri Lanka,UNFCCC Secretariat,UNDP,GEF;Sri Lanka;Sri Lanka;extreme weather events,public health,sea level rise;;
undp_alm;108;Sudan's Second National Communication - In Progress;n/a;420000;USD;Government of Sudan,UNDP,GEF;Sudan;Sudan;disease,drought/water scarcity,extreme weather events,flood,land degradation and deforestation,public health;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;109;Solomon Islands' Second National Communication - In Progress;n/a;420000;USD;Ministry of Environment, Climate Change, Disaster Management and Meteorology, Government of Solomon Islands,Ministry of Mines, Energy and Rural Electrification, Solomon Islands,Government of the Solomon Islands,GEF,UNDP;Solomon Islands;Solomon Islands;drought/water scarcity,extreme weather events,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;110;Sierra Leone's Second National Communication - In Progress;n/a;420000;USD;Government of Sierra Leone;Sierra Leone;Sierra Leone;disease,drought/water scarcity,extreme weather events,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;111;Seychelles' Second National Communication - In Progress;n/a;420000;USD;Ministry of Environment and Energy, Government of Seychelles,Government of Seychelles,GEF,UNDP;Seychelles;Seychelles;drought/water scarcity,extreme weather events,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;112;Swaziland- Second National Communication;n/a;460000;USD;Ministry of Tourism and the Environment, Swaziland,UNFCCC Secretariat,UNDP,GEF;Swaziland;Swaziland;drought/water scarcity,land degradation and deforestation,public health;;
undp_alm;113;Turkey's Second National Communication - In Progress;n/a;420000;USD;Government of Turkey,GEF,UNDP;Turkey;Turkey;drought/water scarcity,extreme weather events,flood,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;114;São Tomé and Príncipe's Second National Communication - In Progress;n/a;420000;USD;National Council for Preparation and Responses to Disasters,São Tomé and Príncipe,National Institute of Meteorology, São Tomé and Príncipe,Government of Sao Tome and Principe,GEF,UNDP;Sao Tome and Principe;Sao Tome and Principe;drought/water scarcity,extreme weather events,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;115;Jamaica- Second National Communication;n/a;n/a;USD;Ministry of Local Government, Jamica,UNFCCC Secretariat,UNDP,GEF;Jamaica;Jamaica;drought/water scarcity,extreme weather events,public health,sea level rise;;
undp_alm;116;Iran- Second National Communication;n/a;n/a;USD;Department of Environment, Government of the Islamic Republic of Iran,UNFCCC Secretariat,UNDP,GEF;Iran (Islamic Republic of);Iran;drought/water scarcity,public health,sea level rise;;
undp_alm;117;Saint Vincent and the Gernadines' Second National Communication - In Progress;n/a;420000;USD;Government of Saint Vincent and Grenadines,GEF,UNDP;Saint Vincent and the Grenadines;Saint Vincent and the Grenadines;drought/water scarcity,extreme weather events,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;118;Indonesia- Second National Communication;n/a;n/a;USD;Ministry of Environment, Republic of Indonesia,UNFCCC Secretariat,UNDP,GEF;Indonesia;Indonesia;;;
undp_alm;119;Saint Lucia's Second National Communication - December 2011;n/a;420000;USD;Government of Saint Lucia,GEF,UNDP;Saint Lucia;St. Lucia;drought/water scarcity,extreme weather events,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;120;Saint Kitts and Nevis' Second National Communication - In Progress;n/a;420000;USD;Government of Saint Kitts and Nevis,GEF,UNDP;Saint Kitts and Nevis;Saint Kitts and Nevis;drought/water scarcity,extreme weather events,flood,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;121;Togo's Second National Communication - November 2010;n/a;420000;USD;Government of Togo,GEF,UNDP;Togo;Togo;drought/water scarcity,extreme weather events,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;122;Guinea-Bissau- Second National Communication;n/a;n/a;USD;Guinea Ministry of Environment and Sustainable Development,UNFCCC Secretariat,UNDP,GEF;Guinea-Bissau;Guinea-Bissau;disease,flood,land degradation and deforestation,public health,sea level rise;;
undp_alm;123;Philippines' Second National Communication - In Progress;n/a;420000;USD;Government of the Philippines,GEF,UNDP;Philippines;Philippines;drought/water scarcity,extreme weather events,flood,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;124;Thailand's Second National Communication - March 2011;n/a;420000;USD;Thailand Department of Disaster Prevention & Mitigation (DDPM),Thailand Ministry of Interior,Government of Thailand,GEF,UNDP;Thailand;Thailand;drought/water scarcity,extreme weather events,flood,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;125;Papua New Guinea's Second National Communication - In Progress;n/a;420000;USD;Government of Papua New Guinea,GEF,UNDP;Papua New Guinea;Papua New Guinea;drought/water scarcity,extreme weather events,flood,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;126;Paraguay's Second National Communication - In Progress;n/a;420000;USD;Government of Paraguay,GEF,UNDP;Paraguay;Paraguay;drought/water scarcity,land degradation and deforestation,public health;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;127;Georgia- Second National Communication;n/a;n/a;USD;Georgia Ministry of the Environment,UNFCCC Secretariat,UNDP,GEF;Georgia;Georgia;extreme weather events,sea level rise;;
undp_alm;128;Tajikistan's Second National Communication - 2008;n/a;420000;USD;Government of Tajikistan,GEF,UNDP;Tajikistan;Tajikistan;drought/water scarcity,extreme weather events,flood,land degradation and deforestation,public health;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;129;Panama's Second National Communication - 2011;n/a;420000;USD;Government of Panama,GEF,UNDP;Panama;Panama;drought/water scarcity,extreme weather events,flood,land degradation and deforestation,public health,sea level rise;infrastructure/climate change risk management;infrastructure / risk management
undp_alm;130;Community-Based Adaptation: Viet Nam;n/a;350000;USD;UNDP,GEF,The GEF Small Grants Programme;Viet Nam;Vietnam;;;
undp_alm;131;Community-Based Adaptation: Samoa;n/a;242200;USD;UNDP,GEF,The GEF Small Grants Programme,UN Volunteers;Samoa;Samoa;;;
undp_alm;132;Community-Based Adaptation: Niger;n/a;271174;USD;National Council for Environment and Sustainable Development, Government of Niger,UNDP,GEF,The GEF Small Grants Programme,UN Volunteers,Government of Japan;Niger;Niger;;;
undp_alm;133;Community-Based Adaptation: Namibia;n/a;295954;USD;UNDP,GEF,The GEF Small Grants Programme,UN Volunteers,Government of Japan;Namibia;Namibia;;;
undp_alm;134;Community-Based Adaptation: Morocco;n/a;301166;USD;UNDP,GEF,The GEF Small Grants Programme,UN Volunteers;Morocco;Morocco;;;
undp_alm;135;Community-Based Adaptation: Kazakhstan;n/a;408890;USD;UNDP,GEF,The GEF Small Grants Programme,Government of Switzerland;Kazakhstan;Kazakhstan;;;
undp_alm;136;Community-Based Adaptation: Jamaica;n/a;245965;USD;UNDP,GEF,The GEF Small Grants Programme,UN Volunteers;Jamaica;Jamaica;;;
undp_alm;137;Community-Based Adaptation: Guatemala;n/a;89772;USD;UNDP,GEF,The GEF Small Grants Programme,UN Volunteers;Guatemala;Guatemala;;;
undp_alm;138;Community-Based Adaptation: Bolivia;n/a;224192;USD;UNDP,GEF,The GEF Small Grants Programme,UN Volunteers;Bolivia;Bolivia;;;
undp_alm;139;Community-Based Adaptation: Bangladesh;n/a;240502;USD;Government of Bangladesh,UNDP,GEF,UK Department for International Development (DFID);Bangladesh;Bangladesh;;;
undp_alm;140;CBA Viet Nam: Applying Technologies to Address Flash Floods and Drought in Cam Tam Commune;n/a;50000;USD;Thanh Hoa Irrigation Associations,UNDP,GEF,The GEF Small Grants Programme;Viet Nam;Vietnam;drought/water scarcity,extreme weather events,flood,land degradation and deforestation;disaster risk reduction;disaster risk reduction
