source;recipient
undp_alm;Sierra Leone
undp_alm;Solomon Islands
undp_alm;South Africa
undp_alm;Sri Lanka
undp_alm;Sudan
undp_alm;Suriname
undp_alm;Swaziland
undp_alm;Syrian Arab Republic
undp_alm;Tajikistan
undp_alm;Thailand
undp_alm;The former Yugoslav Republic of Macedonia
undp_alm;Timor-Leste
undp_alm;Togo
undp_alm;Tokelau
undp_alm;Tonga
undp_alm;Tunisia
undp_alm;Turkey
undp_alm;Turkmenistan
undp_alm;Tuvalu
undp_alm;Uganda
undp_alm;Ukraine
undp_alm;United Republic of Tanzania
undp_alm;Uruguay
undp_alm;Uzbekistan
undp_alm;Vanuatu
undp_alm;Viet Nam
undp_alm;Yemen
undp_alm;Zambia
undp_alm;Zimbabwe
cigrasp;
cigrasp;Algeria
cigrasp;Bangladesh
cigrasp;Benin
cigrasp;Bolivia
cigrasp;Brazil
cigrasp;Burkina Faso
cigrasp;Burundi
cigrasp;Cambodia
cigrasp;Chile
cigrasp;China
cigrasp;Costa Rica
cigrasp;Denmark
cigrasp;Djibouti
cigrasp;Dominica
cigrasp;Egypt
cigrasp;Ethiopia
cigrasp;Fiji
cigrasp;Germany
cigrasp;Ghana
cigrasp;Grenada
cigrasp;Guatemala
cigrasp;Guyana
cigrasp;Haiti
cigrasp;Honduras
cigrasp;India
cigrasp;Indonesia
cigrasp;Jamaica
cigrasp;Kenya
cigrasp;Laos
cigrasp;Latvia
cigrasp;Liberia
cigrasp;Marshall Islands
cigrasp;Mauritania
cigrasp;Mexico
cigrasp;Morocco
cigrasp;Mozambique
cigrasp;Nauru
cigrasp;Nepal
cigrasp;Niger
cigrasp;Papua New Guinea
cigrasp;Peru
cigrasp;Philippines
cigrasp;Plurinational State of
cigrasp;Rwanda
cigrasp;Samoa
cigrasp;Senegal
cigrasp;South Africa
cigrasp;Sri Lanka
cigrasp;St Lucia
cigrasp;St Vincent and the Grenadines
cigrasp;St. Lucia
cigrasp;Tajikistan
cigrasp;Tanzania
cigrasp;Thailand
cigrasp;Tonga
cigrasp;Tunisia
cigrasp;Tuvalu
cigrasp;Uganda
cigrasp;United Republic of
cigrasp;Uruguay
cigrasp;Viet Nam
cigrasp;Vietnam
cigrasp;Yemen
cigrasp;Zambia
cigrasp;Zimbabwe
cigrasp;null
psi;Algeria
psi;Australia
psi;Austria
psi;Bangladesh
psi;Brazil
psi;Cambodia
psi;Canada
psi;China
psi;Colombia
psi;Cote d'Ivoire
psi;Dominican Republic
psi;Ecuador
psi;Egypt
psi;El Salvador
psi;Ethiopia
psi;France
psi;Germany
psi;Ghana
psi;Guatemala
psi;Haiti
psi;India
psi;Indonesia
psi;Israel
psi;Italy
psi;Japan
psi;Kenya
psi;Lao People's Democratic Republic
psi;Madagascar
psi;Mexico
psi;Morocco
psi;Mozambique
psi;Nepal
psi;Nicaragua
psi;Panama
psi;Peru
psi;Philippines
psi;Romania
psi;South Africa
psi;Spain
psi;Sudan
psi;Switzerland
psi;Tanzania
psi;Thailand
psi;The Netherlands
psi;Tunisia
psi;Uganda
psi;United Arab Emirates
psi;United Kingdom
psi;United States of America
psi;Viet Nam
psi;World
psi;Zambia
climatewise;Albania
climatewise;Algeria
climatewise;Anguilla
climatewise;Antigua & Barbuda
climatewise;Argentina
climatewise;Armenia
climatewise;Bahamas
climatewise;Bangladesh
climatewise;Barbados
climatewise;Belize
climatewise;Bermuda
climatewise;Bolivia
climatewise;Bosnia and Herzegovina
climatewise;Brazil
climatewise;Bulgaria
climatewise;Burkina Faso
climatewise;Cape Verde
climatewise;Cayman Islands
climatewise;Chile
climatewise;China
climatewise;Colombia
climatewise;Comoros
climatewise;Cook Islands
climatewise;Costa Rica
climatewise;Cuba
climatewise;Dominican Republic
climatewise;East Timor
climatewise;Ecuador
climatewise;El Salvador
climatewise;Ethiopia
climatewise;Fiji
climatewise;Georgia
climatewise;Grenada
climatewise;Guatemala
climatewise;Guinea-Bissau
climatewise;Guyana
climatewise;Haiti
climatewise;Honduras
climatewise;India
climatewise;Indonesia
climatewise;Iran
climatewise;Jamaica
climatewise;Kazakhstan
climatewise;Kenya
climatewise;Kiribati
climatewise;Macedonia
climatewise;Malawi
climatewise;Maldives
climatewise;Mali
climatewise;Marshall Islands
climatewise;Mauritius
climatewise;Mexico
climatewise;Micronesia (Federated States of)
climatewise;Moldova
climatewise;Mongolia
climatewise;Morocco
climatewise;Nauru
climatewise;Nepal
climatewise;Nicaragua
climatewise;Niue Islands
climatewise;Pakistan
climatewise;Palau
climatewise;Panama
climatewise;Papua New  Guinea
climatewise;Papua New Guinea
climatewise;Paraguay
climatewise;Peru
climatewise;Philippines
climatewise;Romania
climatewise;Russia
climatewise;Saint Lucia
climatewise;Samoa
climatewise;Sao Tome and Principe
climatewise;Senegal
climatewise;Serbia
climatewise;Seychelles
climatewise;Singapore
climatewise;Solomon Islands
climatewise;South Africa
climatewise;St. Kitts & Nevis
climatewise;St. Vincent & the Grenadines
climatewise;Sudan
climatewise;Suriname
climatewise;Tanzania
climatewise;Thailand
climatewise;Timor-Leste
climatewise;Tonga
climatewise;Trinidad & Tobago
climatewise;Turkey
climatewise;Turks & Caicos Islands
climatewise;Tuvalu
climatewise;Ukraine
climatewise;Uruguay
climatewise;Vanuatu
climatewise;Venezuela
climatewise;Viet Nam
oecd_riomarkers;Afghanistan
oecd_riomarkers;Africa, regional
oecd_riomarkers;Albania
oecd_riomarkers;Algeria
oecd_riomarkers;America, regional
oecd_riomarkers;Angola
oecd_riomarkers;Antigua and Barbuda
oecd_riomarkers;Argentina
oecd_riomarkers;Asia, regional
oecd_riomarkers;Azerbaijan
oecd_riomarkers;Bangladesh
oecd_riomarkers;Barbados
oecd_riomarkers;Belize
oecd_riomarkers;Benin
oecd_riomarkers;Bhutan
oecd_riomarkers;Bilateral, unspecified
oecd_riomarkers;Bolivia
oecd_riomarkers;Bosnia-Herzegovina
oecd_riomarkers;Botswana
oecd_riomarkers;Brazil
oecd_riomarkers;Burkina Faso
oecd_riomarkers;Burundi
oecd_riomarkers;Cambodia
oecd_riomarkers;Cameroon
oecd_riomarkers;Cape Verde
oecd_riomarkers;Central African Rep.
oecd_riomarkers;Central Asia, regional
oecd_riomarkers;Chad
oecd_riomarkers;Chile
oecd_riomarkers;China
oecd_riomarkers;Colombia
oecd_riomarkers;Comoros
oecd_riomarkers;Congo, Dem. Rep.
oecd_riomarkers;Congo, Rep.
oecd_riomarkers;Cook Islands
oecd_riomarkers;Costa Rica
oecd_riomarkers;Cote d'Ivoire
oecd_riomarkers;Croatia
oecd_riomarkers;Cuba
oecd_riomarkers;Djibouti
oecd_riomarkers;Dominica
oecd_riomarkers;Dominican Republic
oecd_riomarkers;Ecuador
oecd_riomarkers;Egypt
oecd_riomarkers;El Salvador
oecd_riomarkers;Equatorial Guinea
oecd_riomarkers;Eritrea
oecd_riomarkers;Ethiopia
oecd_riomarkers;Europe, regional
oecd_riomarkers;Far East Asia, regional
oecd_riomarkers;Fiji
oecd_riomarkers;Gabon
oecd_riomarkers;Gambia
oecd_riomarkers;Georgia
oecd_riomarkers;Ghana
oecd_riomarkers;Grenada
oecd_riomarkers;Guatemala
oecd_riomarkers;Guinea
oecd_riomarkers;Guinea-Bissau
oecd_riomarkers;Guyana
oecd_riomarkers;Haiti
oecd_riomarkers;Honduras
oecd_riomarkers;India
oecd_riomarkers;Indonesia
oecd_riomarkers;Iraq
oecd_riomarkers;Jamaica
oecd_riomarkers;Jordan
oecd_riomarkers;Kazakhstan
oecd_riomarkers;Kenya
oecd_riomarkers;Kiribati
oecd_riomarkers;Korea, Dem. Rep.
oecd_riomarkers;Kosovo
oecd_riomarkers;Kyrgyz Republic
oecd_riomarkers;Laos
oecd_riomarkers;Lebanon
oecd_riomarkers;Lesotho
oecd_riomarkers;Liberia
oecd_riomarkers;Libya
oecd_riomarkers;Macedonia, FYR
oecd_riomarkers;Madagascar
oecd_riomarkers;Malawi
oecd_riomarkers;Malaysia
oecd_riomarkers;Maldives
oecd_riomarkers;Mali
oecd_riomarkers;Marshall Islands
oecd_riomarkers;Mauritania
oecd_riomarkers;Mauritius
oecd_riomarkers;Mexico
oecd_riomarkers;Micronesia, Fed. States
oecd_riomarkers;Middle East, regional
oecd_riomarkers;Moldova
oecd_riomarkers;Mongolia
oecd_riomarkers;Montenegro
oecd_riomarkers;Morocco
oecd_riomarkers;Mozambique
oecd_riomarkers;Myanmar
oecd_riomarkers;Namibia
oecd_riomarkers;Nauru
oecd_riomarkers;Nepal
oecd_riomarkers;Nicaragua
oecd_riomarkers;Niger
oecd_riomarkers;Nigeria
oecd_riomarkers;Niue
oecd_riomarkers;North & Central America, regional
oecd_riomarkers;North of Sahara, regional
oecd_riomarkers;Oceania, regional
oecd_riomarkers;Pakistan
oecd_riomarkers;Palau
oecd_riomarkers;Panama
oecd_riomarkers;Papua New Guinea
oecd_riomarkers;Paraguay
oecd_riomarkers;Peru
oecd_riomarkers;Philippines
oecd_riomarkers;Rwanda
oecd_riomarkers;Samoa
oecd_riomarkers;Sao Tome & Principe
oecd_riomarkers;Senegal
oecd_riomarkers;Serbia
oecd_riomarkers;Seychelles
oecd_riomarkers;Sierra Leone
oecd_riomarkers;Solomon Islands
oecd_riomarkers;Somalia
oecd_riomarkers;South & Central Asia, regional
oecd_riomarkers;South Africa
oecd_riomarkers;South America, regional
oecd_riomarkers;South Asia, regional
oecd_riomarkers;South Sudan
oecd_riomarkers;South of Sahara, regional
oecd_riomarkers;Sri Lanka
oecd_riomarkers;St. Helena
oecd_riomarkers;St. Kitts-Nevis
oecd_riomarkers;St. Lucia
oecd_riomarkers;St.Vincent & Grenadines
oecd_riomarkers;Sudan
oecd_riomarkers;Suriname
oecd_riomarkers;Syria
oecd_riomarkers;Tajikistan
oecd_riomarkers;Tanzania
oecd_riomarkers;Thailand
oecd_riomarkers;Timor-Leste
oecd_riomarkers;Togo
oecd_riomarkers;Tokelau
oecd_riomarkers;Tonga
oecd_riomarkers;Trinidad and Tobago
oecd_riomarkers;Tunisia
oecd_riomarkers;Turkey
oecd_riomarkers;Turkmenistan
oecd_riomarkers;Tuvalu
oecd_riomarkers;Uganda
oecd_riomarkers;Ukraine
oecd_riomarkers;Uruguay
oecd_riomarkers;Uzbekistan
oecd_riomarkers;Vanuatu
oecd_riomarkers;Venezuela
oecd_riomarkers;Vietnam
oecd_riomarkers;West Bank & Gaza Strip
oecd_riomarkers;West Indies, regional
oecd_riomarkers;Yemen
oecd_riomarkers;Zambia
oecd_riomarkers;Zimbabwe
climatefundsupdate;Afghanistan
climatefundsupdate;Albania
climatefundsupdate;Angola
climatefundsupdate;Argentina
climatefundsupdate;Azerbaijan
climatefundsupdate;Bangladesh
climatefundsupdate;Benin
climatefundsupdate;Bhutan
climatefundsupdate;Bolivia
climatefundsupdate;Burkina Faso
climatefundsupdate;Burundi
climatefundsupdate;Cambodia
climatefundsupdate;Cameroon
climatefundsupdate;Cape Verde
climatefundsupdate;Central African Republic
climatefundsupdate;Chad
climatefundsupdate;China
climatefundsupdate;Colombia
climatefundsupdate;Comoros
climatefundsupdate;Cook Islands
climatefundsupdate;Democratic Republic of Congo
climatefundsupdate;Djibouti
climatefundsupdate;Dominica
climatefundsupdate;Ecuador
climatefundsupdate;Egypt
climatefundsupdate;Equatorial Guinea
climatefundsupdate;Eritrea
climatefundsupdate;Ethiopia
climatefundsupdate;Gambia
climatefundsupdate;Georgia
climatefundsupdate;Ghana
climatefundsupdate;Global
climatefundsupdate;Grenada
climatefundsupdate;Guatemala
climatefundsupdate;Guinea
climatefundsupdate;Guinea-Bissau
climatefundsupdate;Guyana
climatefundsupdate;Haiti
climatefundsupdate;Honduras
climatefundsupdate;India
climatefundsupdate;Indonesia
climatefundsupdate;Jamaica
climatefundsupdate;Jordan
climatefundsupdate;Kenya
climatefundsupdate;Kiribati
climatefundsupdate;Kyrgyzstan
climatefundsupdate;Lao PDR
climatefundsupdate;Lebanon
climatefundsupdate;Lesotho
climatefundsupdate;Liberia
climatefundsupdate;Madagascar
climatefundsupdate;Malawi
climatefundsupdate;Maldives
climatefundsupdate;Mali
climatefundsupdate;Mauritania
climatefundsupdate;Mauritius
climatefundsupdate;Mexico
climatefundsupdate;Moldova
climatefundsupdate;Mongolia
climatefundsupdate;Morocco
climatefundsupdate;Mozambique
climatefundsupdate;Myanmar
climatefundsupdate;Namibia
climatefundsupdate;Nepal
climatefundsupdate;Nicaragua
climatefundsupdate;Niger
climatefundsupdate;Pakistan
climatefundsupdate;Papua New Guinea
climatefundsupdate;Philippines
climatefundsupdate;Regional
climatefundsupdate;Regional - Europe and Central Asia
climatefundsupdate;Regional - Latin America and Caribean
climatefundsupdate;Regional - Pacific
climatefundsupdate;Rwanda
climatefundsupdate;Samoa
climatefundsupdate;Sao Tome and Principe
climatefundsupdate;Senegal
climatefundsupdate;Sierra Leone
climatefundsupdate;Solomon Islands
climatefundsupdate;Somalia
climatefundsupdate;South Africa
climatefundsupdate;Sri Lanka
climatefundsupdate;St Lucia
climatefundsupdate;St Vincent & Grenadine
climatefundsupdate;Sudan
climatefundsupdate;Swaziland
climatefundsupdate;Tajikistan
climatefundsupdate;Tanzania
climatefundsupdate;Thailand
climatefundsupdate;Timor Leste
climatefundsupdate;Togo
climatefundsupdate;Tonga
climatefundsupdate;Tunisia
climatefundsupdate;Turkmenistan
climatefundsupdate;Tuvalu
climatefundsupdate;Uganda
climatefundsupdate;Unknown
climatefundsupdate;Uruguay
climatefundsupdate;Vanuatu
climatefundsupdate;Vietnam
climatefundsupdate;Yemen
climatefundsupdate;Zambia
climatefundsupdate;Zimbabwe
napa;
napa;Afghanistan
napa;Bangladesh
napa;Benin
napa;Bhutan
napa;Burkina Faso
napa;Burundi
napa;Cambodia
napa;Cape Verde
napa;Central African Republic
napa;Chad
napa;Comoros
napa;Democratic Republic of Congo
napa;Djibouti
napa;Eritrea
napa;Ethiopia
napa;Gambia
napa;Guinea
napa;Guinea-Bissau
napa;Haiti
napa;Kiribati
napa;Lao PDR
napa;Lesotho
napa;Liberia
napa;Madagascar
napa;Malawi
napa;Maldives
napa;Mali
napa;Mauritania
napa;Mozambique
napa;Nepal
napa;Niger
napa;Rwanda
napa;Samoa
napa;Sao Tome e Principe
napa;Senegal
napa;Sierra Leone
napa;Solomon Islands
napa;Somalia
napa;Sudan
napa;Tanzania
napa;Timor-Leste
napa;Togo
napa;Tuvalu
napa;Uganda
napa;Vanuatu
napa;Yemen
napa;Zambia
