Country;category;Approved
South Africa;terrestrial ecosystems;3,54
Sri Lanka;food security;7,99
Sri Lanka;cross-sector ;3,12
St Lucia;cross-sector ;0,32
Sudan;insurance;5,7
Sudan;food security;3
Sudan;cross-sector ;0,2
Sudan;cross-sector ;0,2
Swaziland;water resources;1,67
Tajikistan;terrestrial ecosystems;9,45
Tajikistan;early warning systems and disaster management;7
Tajikistan;education/capacity building;6
Tajikistan;water resources;2,73
Tajikistan;cross-sector ;1,16
Tajikistan;water resources;0,75
Tajikistan;infrastructure;0
Tajikistan;energy;0
Tajikistan;energy;0
Tanzania;coastal zones;5,01
Tanzania;early warning systems and disaster management;4
Tanzania;education/capacity building;3,1
Tanzania;water resources;1
Tanzania;cross-sector ;0,2
Thailand;coastal zones;0,87
Timor Leste;infrastructure;4,6
Timor Leste;cross-sector ;0,2
Togo;food security;5,36
Togo;cross-sector ;0,2
Tonga;cross-sector ;0,25
Tunisia;coastal zones;5,6
Turkmenistan;food security;2,93
Tuvalu;coastal zones;4,2
Tuvalu;coastal zones;3
Tuvalu;cross-sector ;0,2
Uganda;water resources;8,369999
Uganda;early warning systems and disaster management;4
Uganda;cross-sector ;0,2
Unknown;education/capacity building;4,73
Uruguay;food security;9,97
Vanuatu;coastal zones;8,029999
Vanuatu;cross-sector ;2,58
Vanuatu;cross-sector ;0,2
Vietnam;coastal zones;3,4
Zambia;education/capacity building;5
Zambia;early warning systems and disaster management;4
Zambia;food security;3,45
Zambia;cross-sector ;1,5
Zambia;cross-sector ;0,2
Zambia;cross-sector ;0
Zambia;education/capacity building;0
Zimbabwe;terrestrial ecosystems;3,98
Zimbabwe;terrestrial ecosystems;0,98
