arena,year,text
IPCC,1990,V. Meleshko
IPCC,1990,V. Meleshko
IPCC,1990,V. Meleshko
IPCC,1990,J.M. Melillo
IPCC,1990,L. Menchaca
IPCC,1990,K. Minami
IPCC,1990,K. Minami
IPCC,1990,John F. B. Mitchell
IPCC,1990,John F. B. Mitchell
IPCC,1990,Roger G. Barry
IPCC,1990,J-J. Morcrette
IPCC,1990,J-J. Morcrette
IPCC,1990,J-J. Morcrette
IPCC,1990,J-J. Morcrette
IPCC,1990,P. Morel
IPCC,1990,James Morison
IPCC,1990,James Morison
IPCC,1990,Linda Mortsch
IPCC,1990,J. Muller
IPCC,1990,Carlos A. Nobre
IPCC,1990,B.S. Nyenzi
IPCC,1990,F. Bazzaz
IPCC,1990,Walter Oechel
IPCC,1990,Johannes Oerlemans
IPCC,1990,H Oeschger
IPCC,1990,Laban J. Ogallo
IPCC,1990,Laban J. Ogallo
IPCC,1990,J. Oguntojinbo
IPCC,1990,J S. Oguntoyinbo
IPCC,1990,E.O. Oladipo
IPCC,1990,E.O. Oladipo
IPCC,1990,P. Beaumont
IPCC,1990,Timothy N. Palmer
IPCC,1990,Govind Ballabh Pant
IPCC,1990,TL Bell
IPCC,1990,David E. Parker
IPCC,1990,David E. Parker
IPCC,1990,G. Pearman
IPCC,1990,G. Pearman
IPCC,1990,S. Penkett
IPCC,1990,S. Penkett
IPCC,1990,L. Bengtsson
IPCC,1990,E. Perrott
IPCC,1990,M. Phillip
IPCC,1990,A. Barrie Pittock
IPCC,1990,A. Barrie Pittock
IPCC,1990,A. Barrie Pittock
IPCC,1990,L.P. Prahm
IPCC,1990,L.P. Prahm
IPCC,1990,Andr̩ Berger
IPCC,1990,Andr̩ Berger
IPCC,1990,Veerabhadran Ramanathan
IPCC,1990,David A. Randall
IPCC,1990,David A. Randall
IPCC,1990,David A. Randall
IPCC,1990,Sarah C.B. Raper
IPCC,1990,Sarah C.B. Raper
IPCC,1990,Sarah C.B. Raper
IPCC,1990,I. Rasool
IPCC,1990,Dominique Raynaud
IPCC,1990,Dominique Raynaud
IPCC,1990,R.W. Reynolds
IPCC,1990,David Rind
IPCC,1990,H. Rodhe
IPCC,1990,H. Rodhe
IPCC,1990,H. Rodhe
IPCC,1990,Erich Roeckner
IPCC,1990,Erich Roeckner
IPCC,1990,C.F. Ropelewski
IPCC,1990,P.R. Rowntree
IPCC,1990,P.R. Rowntree
IPCC,1990,M. Ryan
IPCC,1990,E. Salati
IPCC,1990,E. Sanhueza
IPCC,1990,E. Sanhueza
IPCC,1990,Ben D. Santer
IPCC,1990,David Schimel
IPCC,1990,M.E. Schlesinger
IPCC,1990,M.E. Schlesinger
IPCC,1990,M.E. Schlesinger
IPCC,1990,W. Schlesinger
IPCC,1990,Stephen Schneider
IPCC,1990,Stephen Schneider
IPCC,1990,C.-D. Schonwiese
IPCC,1990,C.-D. Schonwiese
IPCC,1990,C.J.E. Schuurmans
IPCC,1990,Catherine A. Senior
IPCC,1990,B. Sevruk
IPCC,1990,N. Shackleton
IPCC,1990,J.P. Blanchet
IPCC,1990,G. Shaver
IPCC,1990,G.Y. Shi
IPCC,1990,Keith P. Shine
IPCC,1990,Keith P. Shine
IPCC,1990,W.J. Shuttleworth
IPCC,1990,U. Siegenthaler
IPCC,1990,U. Siegenthaler
IPCC,1990,C. Blondin
IPCC,1990,Ian H. Simmonds
IPCC,1990,P. Simon
IPCC,1990,P. Simon
IPCC,1990,S.K. Sinha
IPCC,1990,P. Bloomfield
IPCC,1990,D. Bnlhnger
IPCC,1990,Andrew Solow
IPCC,1990,Andrew Solow
IPCC,1990,George J. Boer
IPCC,1990,George J. Boer
IPCC,1990,Ronald J. Stouffer
IPCC,1990,Ronald J. Stouffer
IPCC,1990,B. Strain
IPCC,1990,F. Street-Perrott
IPCC,1990,W. Su
IPCC,1990,W. Su
IPCC,1990,B.H. Svensson
IPCC,1990,B.H. Svensson
IPCC,1990,G. Thomas
IPCC,1990,A.M. Thompson
IPCC,1990,A.M. Thompson
IPCC,1990,H. Abdel Nour
IPCC,1990,T. Tokioka
IPCC,1990,Kevin E. Trenberth
IPCC,1990,Kevin E. Trenberth
IPCC,1990,Andrei A. Velichko
IPCC,1990,K.Ya. Vinnikov
IPCC,1990,K.Ya. Vinnikov
IPCC,1990,K.Ya. Vinnikov
IPCC,1990,P. Vitousek
IPCC,1990,P. Vitousek
IPCC,1990,T. Volk
IPCC,1990,Peter Wadhams
IPCC,1990,John E. Walsh
IPCC,1990,W-C Wang
IPCC,1990,W-C Wang
IPCC,1990,R. Waring
IPCC,1990,Richard A. Warrick
IPCC,1990,W.M. Washington
IPCC,1990,Robert T. Watson
IPCC,1990,Robert T. Watson
IPCC,1990,R.T. Wetherald
IPCC,1990,R.T. Wetherald
IPCC,1990,M. Whitfield
IPCC,1990,M. Whitfield
IPCC,1990,Tom M.L. Wigley
IPCC,1990,Tom M.L. Wigley
IPCC,1990,Tom M.L. Wigley
IPCC,1990,Jurgen Willebrand
IPCC,1990,M. Williamson
IPCC,1990,Raymond S. Bradley
IPCC,1990,P. Winkler
IPCC,1990,P. Winkler
IPCC,1990,Steven C. Wofsy
IPCC,1990,Steven C. Wofsy
IPCC,1990,B. Wold
IPCC,1990,S. Woodruff
IPCC,1990,J.D. Woods
IPCC,1990,J.D. Woods
IPCC,1990,J.D. Woods
IPCC,1990,F.I. Woodward
IPCC,1990,Philip Woodworth
IPCC,1990,R.J. Braithwaite
IPCC,1990,Donald J. Wuebbles
IPCC,1990,T. Yamanouchi
IPCC,1990,T. Yamanouchi
IPCC,1990,T. Yamanouchi
IPCC,1990,T. Yasunan
IPCC,1990,Tetsuzo Yasunari
IPCC,1990,D. Ye
IPCC,1990,Q.-C. Zeng
IPCC,1990,Z. Zeng
IPCC,1990,Francis W. Zwiers
IPCC,1990,F.P. Bretherton
IPCC,1990,F.P. Bretherton
IPCC,1990,F.P. Bretherton
IPCC,1990,A. Breymcyer
IPCC,1990,K. Browning
IPCC,1990,K. Bryan
IPCC,1990,K. Bryan
IPCC,1990,M. Budyko
IPCC,1990,D.L. Cadet
IPCC,1990,V. Canuto
IPCC,1990,H-X. Cao
IPCC,1990,H. Cattle
IPCC,1990,H. Cattle
IPCC,1990,R.D. Cess
IPCC,1990,R.D. Cess
IPCC,1990,R. Charlson
IPCC,1990,R. Charlson
IPCC,1990,R. Charlson
IPCC,1990,M. Chelliah
IPCC,1990,R. Cicerone
IPCC,1990,R. Cicerone
IPCC,1990,A. Clarke
IPCC,1990,J. Coakley
IPCC,1990,J. Coakley
IPCC,1990,Michael J. Coughlan
IPCC,1990,D. Crommelynck
IPCC,1990,Ulrich Cubasch
IPCC,1990,Ulrich Cubasch
IPCC,1990,V. Alexander
IPCC,1990,B. Dahlstrom
IPCC,1990,W. Degefu
IPCC,1990,R.G. Derwent
IPCC,1990,R.G. Derwent
IPCC,1990,R.G. Derwent
IPCC,1990,H.F. Diaz
IPCC,1990,Robert E. Dickinson
IPCC,1990,Robert E. Dickinson
IPCC,1990,D.J. Drewry
IPCC,1990,Ye Duzheng
IPCC,1990,James W. Elkins
IPCC,1990,James W. Elkins
IPCC,1990,H. Ellsaesser
IPCC,1990,F. Fehsenfeld
IPCC,1990,F. Fehsenfeld
IPCC,1990,Christopher B. Field
IPCC,1990,H. Flohn
IPCC,1990,Christopher K. Folland
IPCC,1990,Paul Fraser
IPCC,1990,Paul Fraser
IPCC,1990,Congbin Fu
IPCC,1990,J. Aber
IPCC,1990,J. Anderson
IPCC,1990,S. Gadgil
IPCC,1990,R. Gammon
IPCC,1990,R. Gammon
IPCC,1990,W.L. Gates
IPCC,1990,M. Andreae
IPCC,1990,M. Andreae
IPCC,1990,R. Gifford
IPCC,1990,G.S. Gohtsyn
IPCC,1997,H. Gordon
IPCC,1997,Vivien Gornitz
IPCC,1997,W. Gould
IPCC,1997,J. Angella
IPCC,1997,N. Graham
IPCC,1997,H. Grassl
IPCC,1997,Jonathan M. Gregory
IPCC,1997,Jonathan M. Gregory
IPCC,1997,Jonathan M. Gregory
IPCC,1997,S. Anjian
IPCC,1997,Pavel Ya Groisman
IPCC,1997,G.V. Gruza
IPCC,1997,D. Gullet
IPCC,1997,P. Guttorp
IPCC,1997,J. Hack
IPCC,1997,Wilfreid Haeberli
IPCC,1997,Wilfreid Haeberli
IPCC,1997,Assaf Anyamba
IPCC,1997,James E. Hansen
IPCC,1997,James E. Hansen
IPCC,1997,James E. Hansen
IPCC,1997,K. Hasselmann
IPCC,1997,S. Hastenrath
IPCC,1997,Didier Hauglustaine
IPCC,1997,J. Haywood
IPCC,1997,Gabriele C. Hegerl
IPCC,1997,Gabriele C. Hegerl
IPCC,1997,Martin Heimann
IPCC,1997,J. Heintzenberg
IPCC,1997,Ann Henderson-Sellers
IPCC,1997,Ann Henderson-Sellers
IPCC,1997,Ann Henderson-Sellers
IPCC,1997,Kevin Hennessy
IPCC,1997,H. Hirakuchi
IPCC,1997,Martin Hoelzle
IPCC,1997,E. Hofmann
IPCC,1997,W. Hogg
IPCC,1997,G. Holland
IPCC,1997,G. Holland
IPCC,1997,Phillip A. Arkin
IPCC,1997,L. Hopkins
IPCC,1997,B. Horton
IPCC,1997,J.T. Houghton
IPCC,1997,R. Huang
IPCC,1997,Mike Hulme
IPCC,1997,B. Huntley
IPCC,1997,Philippe Huybrechts
IPCC,1997,P. Irannejad
IPCC,1997,I.S.A Isaksen
IPCC,1997,N. Ivachtchenko
IPCC,1997,Daniel Jacob
IPCC,1997,R. Jahnke
IPCC,1997,A.K. Jain
IPCC,1997,T. Johannesson
IPCC,1997,Tim Johns
IPCC,1997,Tim Johns
IPCC,1997,Tim Johns
IPCC,1997,P. Jonas
IPCC,1997,P. Jonas
IPCC,1997,P. Jonas
IPCC,1997,Fortunat Joos
IPCC,1997,Jean Jouzel
IPCC,1997,M. Kanamitsu
IPCC,1997,Thomas R. Karl
IPCC,1997,Thomas R. Karl
IPCC,1997,Thomas R. Karl
IPCC,1997,David J. Karoly
IPCC,1997,David J. Karoly
IPCC,1997,A. Kattenberg
IPCC,1997,Richard W. Katz
IPCC,1997,C. David Keeling
IPCC,1997,A. Keen
IPCC,1997,S. Kempe
IPCC,1997,Haroon Kheshgi
IPCC,1997,S. Khmelevtsov
IPCC,1997,J.T. Kiehl
IPCC,1997,B. Kininmonth
IPCC,1997,Akio Kitoh
IPCC,1997,T. Kittel
IPCC,1997,R. Knight
IPCC,1997,Thomas Knutson
IPCC,1997,H. Koide
IPCC,1997,H. Koide
IPCC,1997,G. Konnen
IPCC,1997,N. Kononova
IPCC,1997,Christian Korner
IPCC,1997,L. Korovkina
IPCC,1997,Randal Koster
IPCC,1997,G. Kukla
IPCC,1997,K.R. Kumar
IPCC,1997,Werner A. Kurz
IPCC,1997,J.E. Kutzbach
IPCC,1997,M. Lai
IPCC,1997,Rattan Lal
IPCC,1997,P. Lamb
IPCC,1997,S. Lambert
IPCC,1997,Chris Landsea
IPCC,1997,Ren̩ Laprise
IPCC,1997,R. Lara
IPCC,1997,R. Latif
IPCC,1997,Ngar-Cheung Lau
IPCC,1997,C. Le Provost
IPCC,1997,Herv̩ Le Treut
IPCC,1997,A. Baitos
IPCC,1997,Rik Leemans
IPCC,1997,Pedro Leite da Silvia-Dias
IPCC,1997,J. Lelieveld
IPCC,1997,Peter Lemke
IPCC,1997,Ruby Leung
IPCC,1997,L. Levin
IPCC,1997,Sydney Levitus
IPCC,1997,T. Lewis
IPCC,1997,R.S. Lindzen
IPCC,1997,H. Lins
IPCC,1997,P. Liss
IPCC,1997,P. Liss
IPCC,1997,R. Livezey
IPCC,1997,J. Lloyd
IPCC,1997,R. Balling
IPCC,1997,Janice Lough
IPCC,1997,P. Love
IPCC,1997,A. Lupo
IPCC,1997,A. Lync
IPCC,1997,C. Ma
IPCC,1997,Michael C. MacCracken
IPCC,1997,B. Machenhauer
IPCC,1997,E. Maier-Reimer
IPCC,1997,E. Maier-Reimer
IPCC,1997,M. Maiss
IPCC,1997,L. Malone
IPCC,1997,Harvey J. Marchant
IPCC,1997,Jose Marengo
IPCC,1997,M. Marinucci
IPCC,1997,Gregg Marland
IPCC,1997,S. Marshall
IPCC,1997,P. Martin
IPCC,1997,M.Y. Bardin
IPCC,1997,Bryant J. McAvaney
IPCC,1997,Bryant J. McAvaney
IPCC,1997,Gordon McBean
IPCC,1997,T.P. Barnett
IPCC,1997,N. Mcfarlane
IPCC,1997,J.L. McGregor
IPCC,1997,K. McGuffie
IPCC,1997,A.D. McGuire
IPCC,1997,T. Mcmahon
IPCC,1997,K. Mcnaughton
IPCC,1997,K. Mcnaughton
IPCC,1997,J. Mcwilliams
IPCC,1997,Linda O. Mearns
IPCC,1997,Gerald A. Meehl
IPCC,1997,Gerald A. Meehl
IPCC,1997,Gerald A. Meehl
IPCC,1997,Gerald A. Meehl
IPCC,1997,M. Meier
IPCC,1997,G. Meira
IPCC,1997,E. Mekis
IPCC,1997,V. Meleshko
IPCC,1997,J.M. Melillo
IPCC,1997,Anna V. Mescherskaya
IPCC,1997,A. Michaels
IPCC,1997,P. Michaels
IPCC,1997,P. Midgley
IPCC,1997,U. Mikolajewicz
IPCC,1997,B. Miller
IPCC,1997,M. Miller
IPCC,1997,N.L. Miller
IPCC,1997,M. Abbott
IPCC,1997,A. Barros
IPCC,1997,John F. B. Mitchell
IPCC,1997,John F. B. Mitchell
IPCC,1997,John F. B. Mitchell
IPCC,1997,Igor Mokhov
IPCC,1997,Roger G. Barry
IPCC,1997,Steve Montzka
IPCC,1997,P. Bartiein
IPCC,1997,James M. Murphy
IPCC,1997,James M. Murphy
IPCC,1997,H. Nakane
IPCC,1997,T. Bates
IPCC,1997,D. Neelin
IPCC,1997,Ron Neilson
IPCC,1997,Neville Nicholls
IPCC,1997,Neville Nicholls
IPCC,1997,S. Nicholson
IPCC,1997,A. Noda
IPCC,1997,A. Noda
IPCC,1997,M. Noguer
IPCC,1997,G. North
IPCC,1997,P. Novelli
IPCC,1997,Brian C. O'Neill
IPCC,1997,J.M. Oberhuber
IPCC,1997,F. Bazzaz
IPCC,1997,Walter Oechel
IPCC,1997,Johannes Oerlemans
IPCC,1997,Johannes Oerlemans
IPCC,1997,Laban J. Ogallo
IPCC,1997,G. Ohring
IPCC,1997,E. Olaguer
IPCC,1997,Michael Oppenheimer
IPCC,1997,David Oram
IPCC,1997,Bette Otto-Bliesner
IPCC,1997,Jonathan Overpeck
IPCC,1997,Timothy N. Palmer
IPCC,1997,Timothy N. Palmer
IPCC,1997,Govind Ballabh Pant
IPCC,1997,S. Parey
IPCC,1997,David E. Parker
IPCC,1997,W. Parton
IPCC,1997,T. Pederson
IPCC,1997,M. Pena
IPCC,1997,S. Penkett
IPCC,1997,C. Penland
IPCC,1997,Joyce E. Penner
IPCC,1997,Joyce E. Penner
IPCC,1997,Martin Beniston
IPCC,1997,Thomas Phillips
IPCC,1997,T. Piatt
IPCC,1997,R. Pinker
IPCC,1997,L.F. Pitelka
IPCC,1997,Andy Pitman
IPCC,1997,H. Pleym
IPCC,1997,N. Plummer
IPCC,1997,J. Polcher
IPCC,1997,C. Bentley
IPCC,1997,G.L. Potter
IPCC,1997,Scott B. Power
IPCC,1997,Scott B. Power
IPCC,1997,Michael Prather
IPCC,1997,L.C. Prentice
IPCC,1997,S. Prinn
IPCC,1997,P. Quay
IPCC,1997,F. Quinn
IPCC,1997,Jouni Raisanen
IPCC,1997,Venkatachalam Ramaswamy
IPCC,1997,Venkatachalam Ramaswamy
IPCC,1997,David A. Randall
IPCC,1997,David A. Randall
IPCC,1997,David A. Randall
IPCC,1997,E.Ya. Rankova
IPCC,1997,Sarah C.B. Raper
IPCC,1997,Sarah C.B. Raper
IPCC,1997,Philip Rasch
IPCC,1997,Dominique Raynaud
IPCC,1997,V.N. Razuvaev
IPCC,1997,David Rind
IPCC,1997,David Rind
IPCC,1997,J. Roads
IPCC,1997,Alan Robock
IPCC,1997,Alan Robock
IPCC,1997,Alan Robock
IPCC,1997,Alan Robock
IPCC,1997,H. Rodhe
IPCC,1997,Erich Roeckner
IPCC,1997,C.F. Ropelewski
IPCC,1997,Steve Running
IPCC,1997,Gary L. Russell
IPCC,1997,S. Sadasivan
IPCC,1997,Dork Sahagian
IPCC,1997,O. Sala
IPCC,1997,M. Salby
IPCC,1997,E. Sanhueza
IPCC,1997,Ben D. Santer
IPCC,1997,Ben D. Santer
IPCC,1997,Ben D. Santer
IPCC,1997,E. Sarachik
IPCC,1997,E. Sarachik
IPCC,1997,H. Sasaki
IPCC,1997,N. Sato
IPCC,1997,R. Bindschadler
IPCC,1997,David Schimel
IPCC,1997,David Schimel
IPCC,1997,M.E. Schlesinger
IPCC,1997,H. Schmid
IPCC,1997,Hauke Schmidt
IPCC,1997,Stephen Schneider
IPCC,1997,E. Schuize
IPCC,1997,Stephen E. Schwartz
IPCC,1997,Frederick H.M. Semazzi
IPCC,1997,Frederick H.M. Semazzi
IPCC,1997,E. Semenyuk
IPCC,1997,A. Semtner Jr
IPCC,1997,D. Blake
IPCC,1997,Catherine A. Senior
IPCC,1997,Catherine A. Senior
IPCC,1997,Catherine A. Senior
IPCC,1997,Q. Shao
IPCC,1997,J. Sharp
IPCC,1997,Igor Shiklomanov
IPCC,1997,Keith P. Shine
IPCC,1997,Keith P. Shine
IPCC,1997,M. Shinoda
IPCC,1997,N. Sidorenkov
IPCC,1997,P. Simmonds
IPCC,1997,S. Singh
IPCC,1997,P. Bloomfield
IPCC,1997,C. Skelly
IPCC,1997,Julia Slingo
IPCC,1997,Julia Slingo
IPCC,1997,Julia Slingo
IPCC,1997,I. Smith
IPCC,1997,T. Smith
IPCC,1997,I. Soldatova
IPCC,1997,Susan Solomon
IPCC,1997,George J. Boer
IPCC,1997,George J. Boer
IPCC,1997,D. Sonechkin
IPCC,1997,R.W. Spencer
IPCC,1997,N. Speranskaya
IPCC,1997,K. Sperber
IPCC,1997,K. Sperber
IPCC,1997,Jayaraman Srinivasan
IPCC,1997,F. Stordal
IPCC,1997,Ronald J. Stouffer
IPCC,1997,Ronald J. Stouffer
IPCC,1997,M. Sugi
IPCC,1997,E. Sulzman
IPCC,1997,H. Sundquist
IPCC,1997,J. Syktus
IPCC,1997,W. Bomin
IPCC,1997,Pieter Tans
IPCC,1997,Karl E. Taylor
IPCC,1997,Karl E. Taylor
IPCC,1997,Karl E. Taylor
IPCC,1997,Simon Tett
IPCC,1997,Simon Tett
IPCC,1997,Simon Tett
IPCC,1997,D. Thomas
IPCC,1997,S. Tibaidi
IPCC,1997,T. Tokioka
IPCC,1997,Kevin E. Trenberth
IPCC,1997,Kevin E. Trenberth
IPCC,1997,C. Tsay
IPCC,1997,K. Van Scoy
IPCC,1997,Olivier Boucher
IPCC,1997,Olivier Boucher
IPCC,1997,A. Vogelmann
IPCC,1997,Hans von Storch
IPCC,1997,John E. Walsh
IPCC,1997,John E. Walsh
IPCC,1997,K. Walsh
IPCC,1997,K. Wang
IPCC,1997,W-C Wang
IPCC,1997,N. Ward
IPCC,1997,Stephen Warren
IPCC,1997,D. Warrick
IPCC,1997,W.M. Washington
IPCC,1997,A. Watson
IPCC,1997,B. Weare
IPCC,1997,Andrew J. Weaver
IPCC,1997,Andrew J. Weaver
IPCC,1997,Andrew J. Weaver
IPCC,1997,T. Webb
IPCC,1997,Ray Weiss
IPCC,1997,A. Wharner
IPCC,1997,Penny Whetton
IPCC,1997,C. Whitiock
IPCC,1997,Tim Whorf
IPCC,1997,J. Boyle
IPCC,1997,Tom M.L. Wigley
IPCC,1997,Tom M.L. Wigley
IPCC,1997,Tom M.L. Wigley
IPCC,1997,Tom M.L. Wigley
IPCC,1997,D. Wilks
IPCC,1997,D. Williamson
IPCC,1997,Raymond S. Bradley
IPCC,1997,R. Bradshaw
IPCC,1997,I. Woodward
IPCC,1997,Philip Woodworth
IPCC,1997,R.J. Braithwaite
IPCC,1997,Donald J. Wuebbles
IPCC,1997,T. Yamagata
IPCC,1997,Z. Yang
IPCC,1997,Tetsuzo Yasunari
IPCC,1997,Q.-C. Zeng
IPCC,1997,M. Zhang
IPCC,1997,R. Zhang
IPCC,1997,X. Zhou
IPCC,1997,Q. Zu Jiangsu
IPCC,1997,Francis W. Zwiers
IPCC,1997,Francis W. Zwiers
IPCC,1997,Francis W. Zwiers
IPCC,1997,J. Gaitatt
IPCC,1997,Keith R. Briffa
IPCC,1997,C. Bruhl
IPCC,1997,T.A. Buishand
IPCC,1997,J. Butler
IPCC,1997,S. Calvert
IPCC,1997,A. Carleton
IPCC,1997,Daniel R. Cayan
IPCC,1997,R.D. Cess
IPCC,1997,R.D. Cess
IPCC,1997,R. Charlson
IPCC,1997,T. Chen
IPCC,1997,Francis Chiew
IPCC,1997,Jens Hesselbjerg Krishna Christensen
IPCC,1997,John R. Christy
IPCC,1997,John R. Christy
IPCC,1997,J. Churo
IPCC,1997,K.M. Clark
IPCC,1997,Martin Claussen
IPCC,1997,G. Collatz
IPCC,1997,Robert Colman
IPCC,1997,D.L. Albritton
IPCC,1997,Edward Cook
IPCC,1997,Edward Cook
IPCC,1997,J. Copeland
IPCC,1997,M. Coughenour
IPCC,1997,Curt Covey
IPCC,1997,Curt Covey
IPCC,1997,Peter M. Cox
IPCC,1997,A. Cress
IPCC,1997,T. Crowley
IPCC,1997,T. Crowley
IPCC,1997,T. Crowley
IPCC,1997,Ulrich Cubasch
IPCC,1997,Ulrich Cubasch
IPCC,1997,D. Cunnold
IPCC,1997,N. Datsenko
IPCC,1997,J. Davies
IPCC,1997,R. Davis
IPCC,1997,J. De Wolde
IPCC,1997,A. Del Genio
IPCC,1997,Thomas L. Delworth
IPCC,1997,Kenneth L. Denman
IPCC,1997,M. Deque
IPCC,1997,R.G. Derwent
IPCC,1997,B. Dey
IPCC,1997,Sandra Myrna Diaz
IPCC,1997,Robert E. Dickinson
IPCC,1997,J. Dignon
IPCC,1997,E. Dlugokencky
IPCC,1997,Richard B. Alley
IPCC,1997,I. Douglas
IPCC,1997,W. Drosdowsky
IPCC,1997,M. Duarte
IPCC,1997,L. Dumenil
IPCC,1997,Jean-Claude Duplessy
IPCC,1997,M. Dyurgerov
IPCC,1997,David Easterling
IPCC,1997,D. Alves
IPCC,1997,D.H. Ehhalt
IPCC,1997,J. Eischeid
IPCC,1997,James W. Elkins
IPCC,1997,W. Elliott
IPCC,1997,F. Alyea
IPCC,1997,Ian G. Enting
IPCC,1997,P. Eraser
IPCC,1997,G.D. Farquhar
IPCC,1997,M.J.R. Fasham
IPCC,1997,Christopher B. Field
IPCC,1997,B.F. Findlay
IPCC,1997,M. Fiorino
IPCC,1997,Gregory Flato
IPCC,1997,Gregory Flato
IPCC,1997,N. Flemming
IPCC,1997,H. Flohn
IPCC,1997,J. Foley
IPCC,1997,Christopher K. Folland
IPCC,1997,Christopher K. Folland
IPCC,1997,Y. Fouquart
IPCC,1997,R. Franke
IPCC,1997,C. Fredericksen
IPCC,1997,P. Frich
IPCC,1997,A. Friend
IPCC,1997,Congbin Fu
IPCC,1997,R. Fu
IPCC,1997,Inez Fung
IPCC,1997,Inez Fung
IPCC,1997,D. Gaffen
IPCC,1997,R. Anderson
IPCC,1997,W.L. Gates
IPCC,1997,W.L. Gates
IPCC,1997,Marvin Geller
IPCC,1997,M. Andreae
IPCC,1997,C. Genthon
IPCC,1997,V. Georgievsky
IPCC,1997,S.J. Ghan
IPCC,1997,T. Ginsburg
IPCC,1997,Filippo Giorgi
IPCC,1997,Filippo Giorgi
IPCC,1997,Peter Gleckler
IPCC,1997,Peter Gleckler
IPCC,2001,Vivien Gornitz
IPCC,2001,M.L. Goulden
IPCC,2001,Oleg A. Anisimov
IPCC,2001,Oleg A. Anisimov
IPCC,2001,K. Gregory
IPCC,2001,K. Gregory
IPCC,2001,K. Gregory
IPCC,2001,L. Grenfell
IPCC,2001,S.M. Griffies
IPCC,2001,Pavel Ya Groisman
IPCC,2001,Pavel Ya Groisman
IPCC,2001,Amulf Grubler
IPCC,2001,G.V. Gruza
IPCC,2001,Alex Guenther
IPCC,2001,H. Annegarn
IPCC,2001,Eric Guilyardi
IPCC,2001,G. Gutman
IPCC,2001,William Gutowski
IPCC,2001,Dimitrios Gyalistras
IPCC,2001,Wilfreid Haeberli
IPCC,2001,Joanna Haigh
IPCC,2001,Joanna Haigh
IPCC,2001,Joanna Haigh
IPCC,2001,R. Hallgren
IPCC,2001,James E. Hansen
IPCC,2001,Inger Hanssen-Bauer
IPCC,2001,M. Hantel
IPCC,2001,D. Hardy
IPCC,2001,N. Harris
IPCC,2001,S. Harrison
IPCC,2001,S. Harrison
IPCC,2001,N. Hasegawa
IPCC,2001,D.C. Hassell
