Id;Keyword_01;Keyword_02;Keyword_03;Keyword_04;Keyword_05;Tag_01;Tag_02;Tag_03;Tag_04;Tag_05;Tag_06;category;Checked keyword_01;Checked keyword_02;Checked keyword_03;Project;Focus;Financial Instrument;Country;Country Income Level;Region;Funder;Approved Year;Fund First Disbursed;Implementor;Approved;Disbursed
176;development planning;policy development;adaptation mainstreaming;;;action;adaptation national program;;;;;cross-sector ;mainstreaming;policy development;;National Adapation Programme of Action - 1201;Adaptation;Grant;Bangladesh;Low-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2003;;UNDP;0.2;0.2
130;flood control;agriculture;capacity building;;;; climate control flood resilience;agriculture infrastructure;;;;food security;infrastructure;agriculture;early warning system;Flood Control and Climate Resilience of Agriculture Infrastructures in Oueme Valley- Benin - 1351;Adaptation;Grant;Benin;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2013;;AFDB;7.2;0
153;agriculture;food security;;;;change climate;agricultural  food production security;adaptation integrated program;combat effects ;;;food security;agriculture;;;Integrated Adaptation Programme to Combat the Effects of Climate Change on Agricultural Production and Food Security - 1202;Adaptation;Grant;Benin;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2009;;UNDP;3.1;3.1
220;institutional capacity;capacity building;;;;change climate;;action adaptation ;national program ;elaboration ;;cross-sector ;institutional capacity building;capacity building;policy development;Project for the Elaboration of the National Programme of Action for Adaptation for Climate Change (NAPA) - 1203;Adaptation;Grant;Benin;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2004;;UNDP;0.2;0.2
258;Early Warning System;Climate resilience;;;;change climate; climate early inmation systems warning;adaptation  climate development resilient;;;;early warning systems and disaster management;early warning systems;disaster management;;Strengthening Climate Information and Early Warning Systems in Western and Central Africa for Climate Resilient Development and Adaptation to Climate Change - Benin - 1322;Adaptation;Grant;Benin;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNDP;4;0
19;disasters;capacity;risks;organization;enhance;climate;action effective; capacity enhanced local national;risk ;disaster;;early warning systems and disaster management;capacity building;disaster management;;Addressing the Risk of Climate-induced Disasters through Enhanced National and Local Capacity for Effective Actions - 1326;Adaptation;Grant;Bhutan;Lower-middle-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2012;;UNDP;11.49;0
186;development planning;policy development;adaptation mainstreaming;;;action;;adaptation national program;;;;cross-sector ;mainstreaming;policy development;;National Adaptation Programme of Action (NAPA) - 1204;Adaptation;Grant;Bhutan;Lower-middle-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2004;;UNDP;0.2;0.2
231;Risks;;;;;change climate; risk vulnerability;; chamkhar valley wangdi;glacial lake outburst;;infrastructure;disaster management;early warning system;capacity building;Reducing Climate Change-induced Risks and Vulnerabilities from Glacial Lake Outbursts in the Punakha-Wangdi and Chamkhar Valleys - 1205;Adaptation;Grant;Bhutan;Lower-middle-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2008;;UNDP;3.45;3.45
278;preparation activities;;;;;grant preparation project;change;;capacity national;change climate managing;;education/capacity building;capacity building;river basin;;Strengthening the Resilience to climate change in the Rio Grande Basin and National capacity for Managing Climate change (project preparation grant) - 209;Adaptation;Grant;Bolivia;Lower-middle-income economies;Latin America and the Caribbean;Pilot Program for Climate Resilience (PPCR);2011;;IBRD;0;0
279;capacity building;;;;;change;concessional loan;;capacity national;change climate managing;;cross-sector ;capacity building;river basin;;Strengthening the Resilience to climate change in the Rio Grande Basin and National capacity for Managing Climate change - Concessional Loan - 277;Unknown;Concessional Loan;Bolivia;Lower-middle-income economies;Latin America and the Caribbean;Pilot Program for Climate Resilience (PPCR);2011;;IBRD;0;0
280;capacity building;;;;;grant;change;;capacity national;change climate managing;;cross-sector ;capacity building;river basin;;Strengthening the Resilience to climate change in the Rio Grande Basin and National capacity for Managing Climate change - Grant - 276;Unknown;Grant;Bolivia;Lower-middle-income economies;Latin America and the Caribbean;Pilot Program for Climate Resilience (PPCR);2011;;IBRD;0;0
297;planning activities;pilot programme;;;;climate resilience;;funding phase;design;national program strategic;;cross-sector ;Mainstreaming and  policy  implementation;Capacity building ;;design of national Strategic Programs for Climate Resilience (SPCR) (phase 1 funding) - 155;Adaptation;Grant;Bolivia;Lower-middle-income economies;Latin America and the Caribbean;Pilot Program for Climate Resilience (PPCR);2011;;;1.5;0.12
164;food security;agriculture;adaptation strategies;;;climate resilience;food security;agricultural  pastoral production;approach farmers field school ;area rural vulnerable;;food security;agriculture;livestock;land management;Integrating Climate Resilience into Agricultural and Pastoral Production for Food Security in Vulnerable Rural Areas Through the Farmers Field School Approach. - 1331;Adaptation;Grant;Burkina Faso;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;FAO;9;0
182;development planning;policy development;adaptation mainstreaming;;;action;adaptation national program;;;;;cross-sector ;mainstreaming;policy development;;National Adaptation Program of Action - 1206;Adaptation;Grant;Burkina Faso;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2004;;UNDP;0.2;0.2
238;Vulnerability;Livelihoods;;;;change climate;; boucles corridor du est mare mouhoun;;risk;;terrestrial ecosystems;livelihood diversification;;;Reducing vulnerability of natural resource dependent livelihoods in two landscapes at risk of the effects of climate change in Burkina Faso: Boucles du Mouhoun Forest Corridor and Mare d'Oursi Wetlands Basin - 1319;Adaptation;Grant;Burkina Faso;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNDP;7;0
250;Adaptation Capacity;Climate Vulnerability;;;;change climate;; vulnerability;adaptation capacity;;;education/capacity building;capacity building;;;Strengthening Adaptation Capacities and Reducing the Vulnerability to Climate Change in Burkina Faso - 1207;Adaptation;Grant;Burkina Faso;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2008;;UNDP;2.9;2.9
259;Early Warning System;Climate resilience;;;;change climate; climate early inmation systems warning;adaptation  climate development resilient;;;;early warning systems and disaster management;early warning systems;disaster management;;Strengthening Climate Information and Early Warning Systems in Western and Central Africa for Climate Resilient Development and Adaptation to Climate Change - Burkina Faso - 1315;Adaptation;Grant;Burkina Faso;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNDP;4;0
74;disaster risk management;;;;;burundi;community disaster management risk;;;;;early warning systems and disaster management;early warning system;disaster management;;Community Disaster Risk Management in Burundi - 1327;Adaptation;Grant;Burundi;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNDP;8.72;0
111;capacity building;policy development;risk management;;;;ecramb;adaptation  climate management risk;;;;early warning systems and disaster management;weather/climate information;disaster management;;Enhancing Climate Risk Management and Adaptation in Burundi (ECRAMB) - 1208;Adaptation;Grant;Burundi;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2011;;UNDP;3.08;0
203;vulnerability assessment;policy development;;;;action national;changement climatique;;;;;cross-sector ;policy development;;;Preparation du Plan d'Action National d'Adaptation du Burundi aux changements climatiques - 1209;Adaptation;Grant;Burundi;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2004;;AfDB;0.2;0.2
53;preparation activities;;;;;grant preparation project;;climate infrastructure proofing;;corridor economic sourn ;;infrastructure;infrastructure;;;Climate Proofing Infrastructure in the Southern Economic Corridor (SEC) Towns (ADB) (Project Preparation Grant) - 160;Adaptation;Grant;Cambodia;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2011;;;0.6;0.53
54;infrastructure;;;;;climate infrastructure proofing;;corridor economic sourn ;towns;;;infrastructure;infrastructure;;;Climate Proofing Infrastructure in the Southern Economic Corridor (SEC) Towns - 261;Adaptation;Concessional Loan;Cambodia;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2012;;ADB;9.4;0
56;preparation activities;;;;;adaptation;grant preparation project;;climate proofing;agricultural  business infrastructure;;infrastructure;agriculture;sustainable livelihoods;;Climate Proofing of Agricultural Infrastructure and Business-focused Adaptation (ADB) (Project Preparation Grant) - 159;Adaptation;Grant;Cambodia;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2011;;;0.6;0.4
57;agriculture;business;;;;adaptation;;climate proofing;concessional loan;agricultural  business infrastructure;;infrastructure;agriculture;sustainable livelihoods;;Climate Proofing of Agricultural Infrastructure and Business-focused Adaptation (ADB) - Concessional Loan - 281;Unknown;Concessional Loan;Cambodia;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);;;ADB;5;0
58;agriculture;business;;;;adaptation;;grant;climate proofing;agricultural  business infrastructure;;infrastructure;agriculture;sustainable livelihoods;;Climate Proofing of Agricultural Infrastructure and Business-focused Adaptation (ADB)- Grant - 280;Unknown;Grant;Cambodia;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);;;ADB;4.5;0
105;Flood management;Drought management;;;;;enhancement; drought flood management;province pursat;;;food security;land management;water management;coastal zone;Enhancement of Flood and Drought Management in Pursat Province (ADB) - 263;Adaptation;Concessional Loan;Cambodia;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2012;;ADB;10;0
106;Flood management;Drought management;;;;grant preparation project;;enhancement; drought flood management;;;food security;land management;water management;coastal zone;Enhancement of Flood and Drought Management in Pursat and Kratie Provinces (ADB) (Project Preparation Grant) - 163;Adaptation;Grant;Cambodia;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2011;;;0;0.14
110;increase resilience of rural populations;;;;;climate resilience;;communities living rural;;;;education/capacity building;local capacity building;;;Enhancing Climate Resilience of Rural Communities Living in Protected Areas of Cambodia - 1647;Adaptation;Grant;Cambodia;Low-income economies;Asia and Pacific;Adaptation Fund (AF);2012;2012;UNEP;4.94;1.11
173;development planning;;;;;;development planning;climate mainstreaming resilience;;;;cross-sector ;mainstreaming;;;Mainstreaming Climate Resilience into Development Planning (ADB) - 227;Adaptation;Grant;Cambodia;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2012;;ADB;7;0
174;development planning;;;;;grant preparation project;;development planning;climate mainstreaming resilience;key sector vulnerable;;cross-sector ;mainstreaming;;;Mainstreaming Climate Resilience into Development Planning in Key Vulnerable Sectors (ADB) (Project Preparation Grant) - 162;Adaptation;Grant;Cambodia;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2011;;;0;0
217;policy development;needs assessment;capacity building;;;change climate;action adaptation ;program;;;;cross-sector ;policy development;capacity building;;Programme of Action for Adaptation to Climate Change - 1210;Adaptation;Grant;Cambodia;Low-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2003;;UNDP;0.2;0.2
226;Climate Resilience;Water Management;Agricoltural Practices;;;climate;agricultural  management practices resilient water;;;;;water resources;water management;agriculture;;Promoting Climate-Resilient Water Management and Agricultural Practices - 1211;Adaptation;Grant;Cambodia;Low-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2008;;UNDP;1.85;1.85
229;Roads;;;;;;climate proofing;;improvement project provincial roads;;;infrastructure;infrastructure;;;Provincial Roads Improvement Project - Climate Proofing of Roads in Prey Veng, Svay Rieng, Kampong Chhnang and Kampong Speu Provinces (ADB) - 156;Adaptation;Grant;Cambodia;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2011;;;7;0
230;Roads;;;;;;climate proofing;;improvement project provincial roads;;;infrastructure;infrastructure;;;Provincial Roads Improvement Project - Climate Proofing of Roads in Prey Veng, Svay Rieng, Kampong Chhnang and Kampong Speu Provinces (ADB) - 254;Adaptation;Concessional Loan;Cambodia;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2011;;ADB;10;0
253;Early Warning System;Climate resilience;;;;change climate; climate early inmation systems warning;;adaptation  climate development resilient support;;;early warning systems and disaster management;early warning systems;weather/climate information;;Strengthening Climate Information and Early Warning Systems in Cambodia to Support Climate Resilient Development and Adaptation to Climate Change - 1352;Adaptation;Grant;Cambodia;Low-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2013;;UNDP;4.91;0
281;water management;food security;enhancing adaptive capacities;;;adaptive capacity ;community rural;food security sustainable; change variability;approach micro watershed;;food security;water management;land rehabilitation;;Strengthening the adaptive capacity and resilience of rural communities using micro watershed approaches to climate change and variability to attain sustainable food security - 1293;Adaptation;Grant;Cambodia;Low-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2011;;FAO;5.1;0
294;vulnerability assessment;coastal area management;livelihoods;terrestrial ecosystems;;change climate;coastal  zone;; ecosystem improvement livelihood;adaptation  assessment program vulnerability;;coastal zones;Coastal zone management;Coastal zones  ;Restoration and protection of coastal ecosystem ;Vulnerability Assessment and Adaptation Programme for Climate Change in the Coastal Zone of Cambodia Considering Livelihood Improvement and Ecosystems - 1212;Adaptation;Grant;Cambodia;Low-income economies;Asia and Pacific;Least Developed Countries Fund (LDCF);2010;;UNEP;1.64;1.64
312;planning activities;pilot programme;;;;climate resilience;;funding phase;design;national program strategic;;cross-sector ;mainstreaming;Capacity building ;policy implementation;design of national Strategic Programs for Climate Resilience (SPCR) (phase 1 funding) - 217;Adaptation;Grant;Cambodia;Low-income economies;Asia and Pacific;Pilot Program for Climate Resilience (PPCR);2011;;;1.5;0.75
125;flood control;enhancing adaptive capacities;;;;resilience ;urban;communities poor;;;;education/capacity building;local capacity building;institutional capacity building;land management;Enhancing the Resilience of Poor Communities to Urban Flooding in Yaounde - 1195;Adaptation;Grant;Cameroon;Lower-middle-income economies;Sub-Saharan Africa;Special Climate Change Fund (SCCF);2013;;AFDB;4.03;0
23;adaptive capacity;water;water sector;;;change climate;adaptive  building capacity resilience;;sector  water;;;water resources;capacity building;water management;;Building Adaptive Capacity and Resilience to Climate Change in the Water Sector in Cape Verde - 1213;Adaptation;Grant;Cape Verde;Lower-middle-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2008;;UNDP;3;3
212;policy development;needs assessment;;;;action;adaptation national program;preparation;;;;cross-sector ;policy development;;;Preparation of a National Adaptation Programme of Action - 1214;Adaptation;Grant;Cape Verde;Lower-middle-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2004;;UNDP;0.2;0.2
154;agriculture;food security;;;;change climate;agricultural  food production security;adaptation integrated program;combat effects ;;;food security;agriculture;policy adaptation;;Integrated Adaptation Programme to Combat the Effects of Climate Change on Agricultural Production and Food Security in CAR - 1215;Adaptation;Grant;Central African Republic;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2011;;UNDP;2.78;0
181;development planning;policy development;adaptation mainstreaming;;;action;adaptation national plan;;;;;cross-sector ;mainstreaming;policy development;;National Adaptation Plan of Action for the Central African Republic - 1216;Adaptation;Grant;Central African Republic;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2004;;UNEP;0.2;0.2
205;mainstreaming into policy;development planning;policy development;;;adaptation;;action national;changements climatiques;du preparation program;;cross-sector ;mainstreaming;policy development;;Preparation du Programme d'Action National pour l'Adaptation aux Changements Climatiques (NAPA) - 1217;Adaptation;Grant;Chad;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2004;;UNDP;0.2;0.2
169;water management;rural develoment;;;;change climate; development management resources rural water;adaptation mainstreaming;;;;cross-sector ;mainstreaming;water management;sustainable livelihoods;Mainstreaming Adaptation to Climate Change Into Water Resources Management and Rural Development - 1152;Adaptation;Grant;China;Upper-middle-income economies;Asia and Pacific;Special Climate Change Fund (SCCF);2008;;World Bank;5;5
9;water;water regulation;regulation;;;adaptation;;climate impact; regulation supply water;;;water resources;water management;water supply;;Adaptation to Climate Impacts in Water Regulation and Supply for the Area of Chingaza - Sumapaz - Guerrero - 1181;Adaptation;Grant;Colombia;Upper-middle-income economies;Latin America and the Caribbean;Special Climate Change Fund (SCCF);2011;;IADB;4.22;0
233;Risks;Vulnerability;;;;change climate; risk vulnerability;region ;;;;infrastructure;early warning systems;wetland rehabilitation;dykes;Reducing Risk and Vulnerability to Climate Change in the Region of La Depresion Momposina in Colombia - 1648;Adaptation;Grant;Colombia;Upper-middle-income economies;Latin America and the Caribbean;Adaptation Fund (AF);2012;;UNDP;8.52;1.84
14;water;water resources;management;cope;;change climate;capacity;management resource water;;;;water resources;water management;;;Adapting Water Resource Management in Comoros to Increase Capacity to Cope with Climate Change - 1218;Adaptation;Grant;Comoros;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2009;;UNEP;3.4;3.4
120;enhancing adaptive capacities;agriculture;;;;resilience;agriculture sector ;change;adaptive capacity;;;education/capacity building;agriculture;;;Enhancing adaptive capacity and resilience to climate change in the agriculture sector in Comoros - 1312;Adaptation;Grant;Comoros;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2012;;UNDP;8.99;0
195;development planning;policy development;adaptation mainstreaming;;;action;adaptation national program;;;;;cross-sector ;mainstreaming;policy development;;National Adaptation Programme of Action - 1219;Adaptation;Grant;Comoros;Low-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2003;;UNDP;0.2;0.2
277;policy development;capacity building;crop production;coastal production;community based approaches;change climate;resilience ; communities isls our;;;;cross-sector ;policy development;capacity building;agriculture;Strengthening the Resilience of our Islands and our Communities to Climate Change (SRIC - CC) - 1642;Adaptation;Grant;Cook Islands;Unknown;Asia and Pacific;Adaptation Fund (AF);2012;2012;UNDP;5.38;0.77
40;agriculture;production;;;;change climate;agriculture sector ; food production security;additional  threat;building capacity ;;education/capacity building;agriculture;food security;;Building the Capacity of the Agriculture Sector in DR Congo to Plan for and Respond to the Additional Threats Posed by Climate Change on Food Production and Security - 1220;Adaptation;Grant;Democratic Republic of Congo;Lower-middle-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2009;;UNDP;3;3
187;development planning;policy development;adaptation mainstreaming;;;action;;adaptation national program;;;;cross-sector ;mainstreaming;policy development;;National Adaptation Programme of Action (NAPA) - 1221;Adaptation;Grant;Democratic Republic of Congo;Lower-middle-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2004;;UNDP;0.2;0.2
240;Resilience;Costal erosion;;;;resilience;;;democratic republic;coastal erosion;;coastal zones;coastal zone management;erosion control;;Resilience of MuandaÃ¢Â€Â™s Communities from Coastal Erosion, Democratic Republic of Congo - 1354;Adaptation;Grant;Democratic Republic of Congo;Lower-middle-income economies;Sub-Saharan Africa;Least Developed Countries Fund (LDCF);2013;;UNDP;5.36;0
81;enhancing adaptive capacities;capacity building;;;;agro;gardens pastoral shade;communities poor rural;adaptation an strategy;;;terrestrial ecosystems;capacity building;restoration of vegetation cover;land management;Developing Agro-Pastoral Shade Gardens as an Adaptation Strategy for Poor Rural Communities - 1650;Adaptation;Grant;Djibouti;Lower-middle-income economies;Middle East and North Africa;Adaptation Fund (AF);2012;;UNDP;4.66;1.05
135;terrestrial ecosystems;;;;;adaptation technologies;ecosystem fragile;;;;;terrestrial ecosystems;protection of ecosystem;ecosystem management;;Implementing Adaptation Technologies in Fragile Ecosystems of Djibouti's Central Plains - 1328;Adaptation;Grant;Djibouti;Lower-middle-income economies;Middle East and North Africa;Least Developed Countries Fund (LDCF);2012;;UNEP;7.36;0
138;coastal area management;water management;agriculture;fisheries;tourism;resilience;intervention napa priority;;coastal most  vulnerable zone;;;coastal zones;agriculture;tourism;fisheries;Implementing NAPA Priority Interventions to Build Resilience in the most Vulnerable Coastal Zones in Djibouti - 1222;Adaptation;Grant;Djibouti;Lower-middle-income economies;Middle East and North Africa;Least Developed Countries Fund (LDCF);2009;;UNEP;2;2
196;development planning;policy development;adaptation mainstreaming;;;action;adaptation national program;;;;;cross-sector ;mainstreaming;policy development;;National Adaptation Programme of Action - 1223;Adaptation;Grant;Djibouti;Lower-middle-income economies;Middle East and North Africa;Least Developed Countries Fund (LDCF);2004;;UNEP;0.2;0.2
284;water management;investments;governance;;;change climate;djibouti;adaptation community rural;mountain region;;;cross-sector ;water management;infrastructure;;Supporting Rural Community Adaptation to Climate Change in Mountain Regions of Djibouti - 1355;Adaptation;Grant;Djibouti;Lower-middle-income economies;Middle East and North Africa;Least Developed Countries Fund (LDCF);2013;;UNDP;2;0
298;planning activities;pilot programme;;;;climate resilience;;funding phase;design;national program strategic;;cross-sector ;mainstreaming;Capacity building ;policy implementation;design of national Strategic Programs for Climate Resilience (SPCR) (phase 1 funding) - 164;Adaptation;Grant;Dominica;Upper-middle-income economies;Latin America and the Caribbean;Pilot Program for Climate Resilience (PPCR);2011;;;0.31;0.2
8;water;water governance;governance;;;change climate;adaptation;effective governance water;;;;water resources;water management;;;Adaptation to Climate Change through Effective Water Governance - 1153;Adaptation;Grant;Ecuador;Upper-middle-income economies;Latin America and the Caribbean;Special Climate Change Fund (SCCF);2007;;UNDP;3;3
116;food security;community adaptation planning;enhancing adaptive capacities;water management;soil erosion control;communities;change climate;adverse effect ;food on security;;;food security;river basin;erosion control;water management;Enhancing Resilience of Communities to the adverse effects of climate change on food security, in Pinchincha Province and the Jubones River basin - 1633;Adaptation;Grant;Ecuador;Upper-middle-income economies;Latin America and the Caribbean;Adaptation Fund (AF);2011;2011;WFP;7.45;2.65
7;coast;coastal zones;river;nile;river delta;change climate;adaptation;coastal integrated management zone;;;;coastal zones;coastal zone management;;;Adaptation to Climate Change in the Nile Delta Through Integrated Coastal Zone Management - 1154;Adaptation;Grant;Egypt;Lower-middle-income economies;Middle East and North Africa;Special Climate Change Fund (SCCF);2009;;UNDP;4;4
